stage,eye,mesenchyme,neural,spinal.cord,vasculature
 10-12,0,0,3.7,0,0
 24-34,0,0,0,0,4.37
 36-46,0,0,0,0,15.07
 48-58,0,0,0,0.94,5.63
 60-70,0,0,0.87,0,1.73
 72-82,0,0,0,0,10.47
 84-94,0.94,2.23,0,0,18.29
 96-106,0,0,0,0,13.34
108-118,0,0,2.39,0,6.11
120,0,0,10.14,0,29.3
