stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,420.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.97,0,0,0,0,0,0,0
  5-6,11.42,666.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.52,0,0,0,29.49,0,15.25,0,0,0,0,0,0,0
  7-9,0,8.75,9.32,0,0,0,21.51,0,0,0,0,0,0,0,0,0,0,0,0,0,289.79,3.29,0,0,41.43,0,0,0,0,0,0,0,0,0
 10-12,0,9.78,6.76,0,0,0,16.14,0,0,0,0,0,0,0,0,0,0,0,0,0,154.67,7.63,0,0,70.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.78,3.27,0.94,0,8.5,0,0,3.42,0,0,0,0,0,0,0,6.8,0,1.73,77.97,0,0,0,2.58,0,0,10.6,5.54,11.89,0,0,0,0
 24-34,0,0,0,1.05,0.81,0,13.52,0,0,1.35,0,0,0,0,0,0,0,5.03,0,3.74,103.04,0,3.64,0,0,0,0,0,0.61,19.2,0,2.09,0,0
 36-46,0,0,0,0.63,0,0,13.3,0,0,6.15,0,0,0,0,0,0,0,11.99,0,1.75,71.13,1.19,0,0,0,0,6.25,0,0,10.93,0,0,0,0
 48-58,0,0,0,3.79,0,0,11.66,0.58,0,7.95,0,0,0,0,0,0,0,8.5,0,0.7,44.2,2.65,0.43,0,0,0.4,0,0,0,8.24,0,2.07,0,0
 60-70,0,0,0,0,0,0,18.18,0,0,0.68,0,0,2.45,0,0,0,0,6.83,1.19,0.6,28.59,0,0,0,0,0,0,0,0,5.26,0.71,1.24,0,0
 72-82,0,0,0,0,0,0,9.01,0,0.75,5.76,0,2.28,0,0.54,0,0.74,0,16.42,0,1.23,20.45,0,1.22,0,0,0,0.75,0,0,0.7,1.49,0,0,0
 84-94,0,0,0,0,0,0,8.73,0,0,1.1,0,0,0,0.61,1.38,0,0.57,3.22,0,0,22.81,0.63,0,0,0,0,1.76,0,0,0,0,0,0,0
 96-106,0,0,0,11.94,0,0,1.37,0,2.65,4.79,0,0,0,0,0,0,0,6.84,0.7,0,15.16,0,0,0.76,0,6.22,1.38,0,0,1.54,0,0,0,0
108-118,0,0,0,0.42,0,0,16.62,0,0,6.21,0.43,0,1.08,0.44,1.26,0.51,0,14.08,0,0,25.09,0,0,0.43,0,0,3.85,0,0,8.62,0,0,0,0
120,0,0,0,0,0,3.41,3.6,0,0,6.48,0,0,3.09,0,0,0,0,4.4,0,0,22.03,0,0,2.38,0,0,2.86,0,0,0,0,0,2.57,7.58
