stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24,0,0,0,0
  7-9,0,0,0,0,0,0,4.63,0,19.29,3.71,0,0,3.6,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,11.8,0,0,0,12.4,0,0,0,0,0
 14-21,0,1.02,0,0,0,0,0,0,0,0,0,0,0,6.51,0,0,1.08,0
 24-34,1.05,0,1.51,0,0,0,0,0,17.94,0,0,0.61,0,0,0,6.33,0,0
 36-46,0,0,0,0.65,0,0,0,0,32.3,0,0,0,0,0,0,18.21,1.98,0
 48-58,0,0,2.06,0.56,0.51,0,0,0.98,40.76,0,0.77,0,0,0,0,5.13,1.09,0
 60-70,0,0,7.13,0,0,0,0,0,171.07,0,1.19,0,0,0,0,11.89,0,0
 72-82,0,0,0.98,0,0.78,0,0,4.23,89.98,0,0.67,0,0,0,0,1.86,0,0
 84-94,0,0,1.19,0,2.03,1.87,0,0.59,60.12,0,3.1,0,0,0,0,0.64,0,0
 96-106,0,2.07,0.75,0,0,0,0,0,65.07,0,1.85,0,0,0,0,0,0,1.33
108-118,0,1.75,8.35,0,1.96,0,0,0,77.52,0,0,0,0,0.45,0,0.46,0,0
120,0,0,0,0,0,0,0,0,166.14,0,0,5.18,0,0,2.12,0,3.6,0
