stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.35,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.31,22.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,65.35,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,25.84,10.54,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,79.1,18.07,0,10.63,0,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315.28,9.92,0,0,30.76,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,30.49,3.25,0,4.94,0,0,0,3.34,0,0,15.4,0,0,0,0,0,0,881.88,0,0,1651.34,911.87,1.08,0,0,12.63,0,4.45,76.37,0,14.41,118.52,42.67,0,0,0,0,0
 24-34,0,0,0,26.36,6.26,0,10.38,2,2.75,55.19,2.97,0,0,58.8,0,1.93,0,0,13.07,9.67,2134.26,0,7.09,1792,361.93,2.01,3.83,0,0,0,8.36,9.02,7.54,11.18,78.72,40.9,0,0,14.76,0,0.79
 36-46,0,0,0,22.53,5.31,0,21.54,0,4.76,220.32,19.74,0,0,176.04,0,0,0,0,0,0,3272,0,16.41,1149.55,413.6,5.32,3.06,0,0,12.81,3.68,34.22,0,8.24,0,20.96,0,4.23,8,0,0
 48-58,0,0,0,6.12,3.98,0,96.94,1.28,13.37,253.64,22.61,0,2.63,77.47,5.28,0,19.42,0,1.3,8.55,3539.7,0,15.02,558.1,445.14,0.58,0.87,0,0,5.5,0,0,0,6.93,0,42.59,0,7.38,0.75,0,15.95
 60-70,1.61,0,0,10.6,3.47,0,82.75,0,18.26,229.35,24.18,3.45,0,80.27,7.99,0,0,0,5.95,0,3650.35,1.7,6.05,341.11,328.71,0,0,0,0,4.09,17.59,0,0.79,5.75,0,15.37,0,43,0,3.8,5.13
 72-82,0,0,0,20.08,8.26,0,172.12,0.65,11.81,399.18,32.34,0,0,47.75,0,0.63,0,0,3.3,0,4316.56,0,29.13,477.93,175.92,0.63,1.1,8.01,0,21.47,1.27,0,0,0,0,14.21,0,56.38,2.15,11.5,7.7
 84-94,0,0,0,39.27,6.91,0,223.75,1.33,4.45,256.15,25.05,1.36,0,54.32,2.15,1.03,2.21,7.19,1.81,0,3917.74,0,16.86,382.52,113.78,0.62,0,7.87,0,7.64,0.6,0,0,0.66,0,22.96,0,54.16,0.91,19.59,0
 96-106,1.12,0,0,24.57,9.47,0,151.38,3.26,2.2,276.6,35.87,1.43,0,64.77,1.53,0,0.92,2.96,3.61,1.63,3650.92,0,23.53,316,254.72,0,3.58,0,0,7.28,7.8,0,1.1,1.3,0,2.21,0,44.67,0.92,11.2,6.64
108-118,0,0,0,16.94,2.8,0,88.64,4.34,5.88,219.52,23.12,0,0,13.32,3.73,2.12,0.46,0,6.21,0,4167.78,1.14,18.12,338.98,227.36,0,19.35,0.44,0,45.55,19.31,0,8.47,1.03,0,5.15,2.47,49.79,1.4,12.95,4.23
120,0,0,0,20.77,1.95,5.97,105.45,2.29,8.33,284.61,25.39,0,0,19.66,3.81,0,3.33,5.29,0,0,4209.97,0,6.99,330.53,151.57,0,8.48,2.11,0,45.3,12.45,0,0,0,0,6.18,9.25,60.48,0,16.54,0
