stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,69.16,669.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0
  5-6,7.23,466.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,21.15,0,0,0,0,0,0
  7-9,11.28,18.69,0,5.18,0,0,79.04,0,0,0,0,0,0,0,0,0,0,0,0,349.22,19.64,0,0,109.89,0,0,0,0,0,0,0
 10-12,0,17.29,0,26.25,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,128.4,3.56,0,0,35.84,0,0,0,0,0,0,0
 14-21,0,0,0,2.8,14.8,6.09,12.79,0,0,5.17,0,0.97,0,0,0,1.94,26.45,0,21.05,149.82,5.57,2.83,3,5.04,0,29.72,0.89,47.99,69.5,3.08,0
 24-34,0,0,0,0,0,0.62,2.06,0,0,0,0,0,0,0,0.61,0,4.18,0,1.27,35.61,0,0,0,0,0.72,0,0,0,12.32,0.79,0
 36-46,0,0,0,0,3.51,0,5.51,0,0,2.21,0,0,0,0,0,0,3.33,0,1.74,40.39,1.3,0,0,0,0,0,0,0,21.12,2.56,0
 48-58,0,0,0,0,4.66,0,11.42,0,0,4.15,0,0,0,0.47,0,0,3.29,0,0.85,42.61,0,0,0,0,0.63,0,0,0,6.09,0,0
 60-70,0,0,0,0,0,0,8.85,0,1.28,0,0,0,1.48,0,0,0,12.33,1.37,0,48.36,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,10.2,0,0.68,2.86,0,0,0,0,0.74,0,11,0,1.42,63.21,0,0,0,0,0,0,0,0,12.48,0,0.62
 84-94,0,0,0,0,1.48,0,13.1,0,0,0,0,0,0,0,0,0,2.45,0,0,23.96,0,0,0,0,0,0,0,0,0.74,1.93,0
 96-106,0,0,0.81,0,0,0,0.73,0,0,0,1.35,0,3.13,0,0,0,4.69,0,0.69,25.8,0,0,0,0,0.82,0,0,0,0,1.16,0
108-118,0,0,0,0,1.16,0,9.24,0.5,0,2.32,0,0,0.85,0,0,0,3.6,0,1.09,26.65,0,0,1.09,0,0.95,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0,11.87,0,0,41.12,0,0,0,0,5.73,0,0,0,0,0,0
