stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,21.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.59,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,43,9.04,0,0,9.35,0,0,0,0,0,0,0
 10-12,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,22.7,0,0,10.56,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,5.9,0,0,0,0,0,1.76,3.29,5.03,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,21.52,0,4.58,0,0,0.76,0,0.85,9.35,0,0,0
 36-46,0,0,1.18,0,5.52,0,0,0,0,0,0,6.73,0,0.57,0,31.81,0,6.23,0,0,0.87,0,0,15.22,0,0,0
 48-58,0,0,27.94,0,12.92,0,0,0.55,0,0,1.12,5.73,0,0,0.48,61.68,0,3.65,0.49,0,0,0,0,10.66,0,0,2.71
 60-70,0,0,10.93,0,7.03,0,0,0,0,0,0,0.73,0,0,0,38.17,0,7.21,0.63,0,0,0,1.06,9.97,1.84,0,0
 72-82,0,0,35.33,0,11.5,0,0,0,0,0,0,8.2,0,0,0.5,32.34,0,12.4,0.54,0,0,0,0,2.35,0,0,10.12
 84-94,0,4.39,4.74,0,9.18,0,0,0.8,2.3,0.6,0.72,11.57,0,0,0,38.67,0,8.44,4.82,0,1.07,0,0.62,5.08,0,1.63,0
 96-106,0,0,10.45,0,4.03,0.66,0,0,1.29,0,0,4.94,0,0,1.95,14.79,0,14.46,4.22,0,1.2,0,0,5.68,0,0.92,0
108-118,0,1.54,10.36,0.45,8.39,0,0,0,0.52,0,0,8.71,0,0,0.49,17.67,0,9.61,1.43,0,0,0,0,1.94,0,0,0
120,0,0,16.32,0,0,0,0,0,0,0,0,0,1.12,0,0,27.32,0,1.61,6.21,0,0,0,0,12.35,0,0,0
