stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,25.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.88,0,0,0,0,0,0,0,0,14.45,0,0,6.6,0,0
  7-9,3.67,0,0,4.22,0,0,0,0,0,51.39,0,0,5.76,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.69,4.59,8.19,0,0,0
 14-21,0,2.79,0,2.28,0,0,0,0,0,4.99,0,0.82,0,2.46,0
 24-34,0,0.71,0,0.92,0,0,0,0.95,0,1.79,0,0,0,0,1.04
 36-46,0,0,0,1.61,0,0,0,0.72,0.82,0,0,0,0,0,0
 48-58,0,0,1.45,1.84,0,0,0,0,0.51,1.23,0,0,0,0,0
 60-70,0,0,0,0,1.12,6.47,0,0,0,6.79,0,0,0,0,0
 72-82,0,0.64,1.78,0.96,0,0,0,0,0.76,3.5,0,0,0,0,0
 84-94,0,0,8.47,0,0,0,0,1.47,0.65,3.02,0,0,0,0,0
 96-106,0,0,0,0,0,0.84,0.6,0,0,0,0,0,0,0,0
108-118,0,0,1.11,2.1,0,0,0.6,1.28,0,9.25,0,0,0,0,0
120,0,0,0,0,0,0,0,18.45,0,7.73,0,0,0,0,0
