stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord,vasculature
  3-4,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0
 14-21,0,3.44,0.85,0,0,0,0,0,0,3.99,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.79,22.41,0,0,0,0.9,0
 36-46,0,0,0,0,0,0.92,0.56,0,0.93,13.83,0,2.29,0,2.42,0
 48-58,0,0,0,0.91,0.44,0,0.42,0,0,9.36,0,0,0.49,4.06,0
 60-70,0,6.11,0,10.32,0,0,0,1.76,0,16.45,0,0,3.12,1.47,0
 72-82,0,0,0,5.95,0,1.44,2.88,0,0,12,9.68,0,1.73,2.09,0
 84-94,0,0,0,6.5,0,0,1.37,0,0,15.84,0,0,0,0,0
 96-106,0,0,0,2.45,0,8.77,0,0,0,2.9,0,0,2.58,0,0
108-118,0,0,0,2.82,0,0,1.53,0,0,4.6,0,0,1.85,0,0.59
120,0,1.2,0,0,0,0,0,0,0,5.46,0,0,5.36,0,0
