stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pronephros
  3-4,0,284.97,0,0,0,0,0,0,0,0,0
  5-6,9.27,563.38,0,0,0,0,24.86,0,10.29,8.52,0
  7-9,0,25.18,24.52,0,70.23,16.06,376.05,14.25,132.65,0,0
 10-12,0,13.37,47.85,16.62,51.62,0,505.17,84.04,129.92,0,10.9
