stage,axial,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,otic,somites,spinal.cord,xanthophores
  3-4,0,65.88,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.17,45.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,8.38,0,1.89,0.84,1.37,0
 24-34,0,0,0,0.6,0,0,1.05,3.02,15.22,0,2.8,0,0.92,0
 36-46,0,0,0,0,10.86,0,10.73,0,17.64,0.6,0.8,0,2.33,0
 48-58,0,0,0,1.4,17.29,0,15.23,0,3.7,10.22,2.43,0,4.38,1.09
 60-70,0,0,0,2.99,11.25,0,13.9,0,2.82,0,2.96,0,0,1.29
 72-82,0,0,0,1.63,13.31,0,21.44,0,1.62,0.73,1.14,0,0,0.5
 84-94,0,0,0.7,0.62,5.53,0,17.2,0,2.9,1.05,4.54,0,0,0
 96-106,0,0,0,0.58,22.52,0,10.37,0,15.18,0,3.86,0,0,0
108-118,0,0,0,2.72,33.02,0,12.79,0,0.85,0,3.13,0,0,0.91
120,0,0,0,0,17.31,2.67,14.75,0,9.85,0,3.58,0,0,4.69
