stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,265.35,509.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,338.19,980.73,92.57,0,0,0,0,0,0,0,0,0,0,0,0,228.58,0,0,39.92,0,0,0,0,0,0,0,0
  7-9,88.76,26.51,181.39,0,0,16.35,0,0,33.89,0,0,0,0,0,0,438.64,47.49,0,811.18,0,0,0,0,0,0,0,0
 10-12,0,3.1,26.01,0,0,25.62,0,0,0,0,0,0,0,0,0,123.06,4.59,0,281.53,0,0,0,34.87,0,0,0,0
 14-21,0,0,3.82,1.03,0.88,1.35,1.67,1.09,0,0,0,0,2.09,0,3.23,12.02,0,0,0,0,3.51,6.47,0,0,7.18,0,0
 24-34,0,0,0,0,0,0.79,0,0,0,0,0,0.78,0.61,0,0,11.12,0,0,0,0,0.71,0,0,0.61,0.89,0,3.12
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.57,0,2.43,0.88,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.97,0,1.83,0,0,0,0,2.42,0.6,1.01,1.14,0,0,0,0,2.28,0,0,0,0.67,0,0.9
 60-70,0,0,0,0,0,0,0,0,0,0,1.16,0,6.35,0,0,2.73,0,0,0,0,1.9,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.49,0,0,1.34,5.33,0,5.27,0,0,0,0,1.58,0,0,0,0,0,1.48
 84-94,0,0,0,0.57,0.66,1.44,0,0,0,0,1.32,0,0,0,1.33,0.77,0,0,0,0,0,0,0,0,0,1.37,0.58
 96-106,0,0,0,0,10.18,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0
108-118,0,0,0,0,0,0,0,0,0,0,1.85,0,2.78,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
120,0,0,0,0,6.93,0,7.63,0,0,4.79,0,0,6.58,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0
