stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,24.09,1387.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.47,0,0,0,0,0,0,0
  5-6,34.29,1619.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.25,0,0,0,0,0,10.87,0,0,0,0,0,0,0
  7-9,10.74,41.84,84.38,0,0,67.05,0,0,0,0,0,67.78,0,0,0,0,0,0,0,0,1071.01,6.67,0,0,257.6,0,0,4.57,0,0,0,0,0,0
 10-12,0,8.29,29.1,0,15.83,44.93,0,0,0,0,0,14.52,0,0,0,0,0,0,0,0,500.83,25.55,0,0,117.88,0,0,0,0,7.31,0,0,0,0
 14-21,0,0,2.16,7.98,2.03,0.82,0,0,0,4.64,0,0,0,0,0.97,0,0,9.33,0,9.29,108.03,3.59,0,0,1.88,0,0,0,8.21,0,3.65,49.05,1.77,0
 24-34,0,0,0,0.62,0.81,5.52,0,0,0.63,1.64,1.69,0,0,0,1.12,0,0,21.9,0,7.55,159.17,0.7,3.19,0,0,0,0,0,0,1.79,0.63,37.99,2.46,0
 36-46,0,0,0,0,0,23.78,0,0,0,0.96,0,0,0,0,0,0,0,5.69,0,1.55,99.35,0,0.62,0,0,0,1.24,0,0,0,0,20.9,0,0
 48-58,0,0,0,0,0,27.23,0,0,0.4,3.57,0,0,0,0,0,0,0,5.26,0,1.25,27.47,0,0.85,0.4,0,0,0.75,0,0,0,0,13.17,0.62,0
 60-70,0,0,0,2.05,0,6.47,0,0,0,11.12,0,0,0.59,0,0,0,0,2.2,0,0,29.9,0,0,0,0,0,0.7,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0.69,9.87,0,0,0,0.78,0,0,0,0,0,0,0.68,5.48,0,0,23.19,0.66,0,0,0,0,0,0,0,0,0,1.58,0,0
 84-94,0,0,0,1.43,0.57,20.52,0,0,0,0,0.76,0,0,0.92,2.06,0.6,0,5.36,9.62,0,3.08,0,0,0,0,0,0,0,0,0,0,2.68,1.49,0
 96-106,0,0,0,0.91,3.39,2.42,1.41,0,0,1.93,0,0,0,0,0,0,0,3.45,0,0.61,12.12,0,0,0,0,0,0,0,0,0.89,0,0,0,0
108-118,0,0,0,1.24,2.48,5.63,0,1,1,7.01,0,0,0,0,0,0,0,3.49,0,0,22.73,0,0,0,0,0.76,0,0,0,0,0,6.03,0,0.84
120,0,0,0,1.16,11.89,2.57,0,0,0,13.5,0,0,0,0,0,0,0,10.97,2.76,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
