stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.24,0,11.4,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,37.62,0,11.9,0,0,0,0
 14-21,0,2.85,0,0,0,0,0,0,2.08,0,0,0,1.17,0,0
 24-34,0,0,0.76,0,0,0.74,0.63,1.71,4.88,0,0,0,0,0,0
 36-46,0,0,1.85,0,0,0,1.45,0,21.73,0,0,0.59,0,3.94,0
 48-58,0,0,1.57,0,0,0,2.02,0,12.92,0,0,0,0,0,0
 60-70,0,0.8,8.94,0,0,0,0,0,5.78,0,0,0,0,0.82,0
 72-82,0,0,10.12,3.81,0,0,0,0,1.22,1.44,0,0,0,0,0
 84-94,0,0,2.51,2.42,0,0,2.26,0,0,0,0,0,0,0,0.56
 96-106,0,0,3.46,1.87,2.07,0,3.37,0,0,0,0,0,0,0,2.81
108-118,0,0.8,0,0,0,0,4.16,0,0,0,0,0,0,0,1.05
120,0,0,0,12.35,0,0,0,0,2.11,0,0,0,0,0,0
