stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,19.31,0,0,0,0,0,0,0
 10-12,4.38,0,0,0,0,0,0,0,0,0,0,16.73,0,0,0,7.07,0,0,0
 14-21,0,2.07,0,2.68,0,0,0,0,0,1.83,2.29,53.19,0,0.88,4.43,0.87,1.07,3.07,7.12
 24-34,0,1.27,1.27,3.46,1.86,0,0.8,0,0,1.45,0,59.47,1.86,0.74,6.33,0,0,0,9.63
 36-46,0,0,1.12,5.12,0.68,0,0,0,0,0,0,24.82,0,0,0.59,0,0,0,4.42
 48-58,0,5.35,0,9.67,3,0,0,0,1.52,0,0,40.06,0,0,1.38,0,0,0,7.66
 60-70,0,2.33,0,2.69,0,0,0,0,0,0,0,19.91,0,0,2.56,0,0,0,3.12
 72-82,0,0,4.72,1.86,0.61,0,0,0.68,0,5.49,1.37,12.42,0,0,0,0.64,0,0,0
 84-94,0,0,0,3.88,1.76,3.53,0,0,0,6.96,0.8,6.11,0,0,0,0,0,0,0
 96-106,0,0,0,5.77,1.33,0,0,0,0,3.39,1.05,7.36,0,0.73,0,0,0,0,1.34
108-118,0,0,6.82,0,0,0,0,0,0,0,0.44,4.56,0,0,0,0,0,0,0
120,0,0,0,0,3.8,1.74,0,0,0,4.09,0,16.99,0,0,17.33,0,0,0,9.43
