stage,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,1.18,0,0,0,0,0
 24-34,0,0.68,0,0,0,1.99,0,1.09,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.24,0,8.41,0,0,0
 48-58,0,0.41,0,0,0,0,0.39,4.46,0,0,4.1,0,0
 60-70,0,0.63,0,0,0,0.59,0,1.4,0,2.8,0,0,0
 72-82,0.52,3.95,0,0,1,1.57,0,1.22,0,3.38,0,0,0
 84-94,0,0,0,0.95,1.32,1.07,0,0,0.63,7.44,0,0,0
 96-106,0,10.29,0.59,0,0.66,1.88,0,0.81,0,15.6,0,0,0.85
108-118,0,0,0,0,3.13,0,0,7.2,0,3.65,0,0,0
120,0,0,0,0,26.76,0,0,0,0,1.8,0,1.54,0
