stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34,0,0,0,0,0,0,23.4,0,0,0,0,0
 24-34,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,155.89,0,0,0,0.97,0,0,110.19,0,0,0,0,0
 36-46,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,381.45,0,0,0,0,0,0,96.07,0,0,0,0,0
 48-58,0,0.43,0,0,25.54,0,0,0.78,7.37,0,0,0,0,0,0,0,0,3.83,0,3.49,944.28,0,1.08,1.22,0,0,0,119.4,0,0,0.98,0,1.5
 60-70,0,9.41,0,0,289.24,0,0,0.9,21.63,0,0,0,0,0,0,0,0,1.53,0,0.7,1476.02,0,0,0,0.72,0,1.34,145.88,0,1.22,0,0,0
 72-82,0,22.4,3.08,0,1575.16,1.33,0.53,2.09,60.43,5.82,0,0,0,0,0,0,3.96,19.76,0,0,2572.15,0,4.05,0,0,0,0,131.46,0,0,2.12,0,0
 84-94,0,7.55,2.09,0,1516.31,0,1.23,0,42.9,0,1.44,0,0,0,0,0,0,11.34,0,0,1924.77,0,0.69,2.58,4.15,0,0,122.95,0,2.27,2.44,3.29,0
 96-106,0,8.86,25.17,1.05,2210.56,0,7.22,0,38.1,0,0,6.98,0,1.29,0.63,0,0,30.25,1.27,1.44,2021.79,0.77,0.57,5.49,3.49,1.05,0,88.87,3.16,0,0,1,9.56
108-118,0,12.24,0,0.55,1976.97,0,0.43,1.75,75.09,3.46,0,0.89,1.36,0.82,0,2.39,0,26.13,0,0.46,1927.27,0.47,1.39,1.82,8.94,0,0,62.19,3.92,0,0,1.7,1.42
120,0,13.88,1.38,0,1656.04,0,0,1.88,153.15,0,0,1.51,0,0,0,0,0,0,2.91,5.5,3692.55,0,0,11.44,4.36,0,0,205.07,0,0,5.05,0,8.94
