stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1441.62,26838.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.06,0,0,0,0,0,0,0,0,0,0
  5-6,2389.83,28415.21,0,32.96,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,717.92,126.15,0,0,255.5,0,1580.2,0,0,0,0,0,0,0,0,0,0
  7-9,273.86,167.73,0,202.31,0,0,265.76,0,0,0,0,0,205.48,0,0,0,0,0,0,0,0,0,4455.66,211.55,0,0,1350.63,0,432.03,56.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,107.22,0,0,58.71,0,0,0,0,0,13.01,0,0,0,0,0,0,0,0,0,520.18,11.85,0,0,176.19,0,179.34,39.56,4.76,29.95,0,5.78,0,0,0,0,0
 14-21,0,0,0,4.31,60.92,0,1.91,0,0,0,0,4.83,2.23,0,22.53,0,0,0,0,2.21,3.4,0,35.58,0,11.52,0,0,0,910.72,1.81,3.31,0,0,0,6.44,0,0,0,0
 24-34,0,0,0,0.71,57.6,0.61,8.58,0,5.91,0,1.48,1.97,7.77,0.98,96.79,0,4.63,0.65,0,4.88,40.75,5.76,162.54,0,14.43,1.16,0,0,1888.64,0,0,0.61,0,0.62,16.21,0,0,7.98,0
 36-46,0,0,0,0,18.75,0,4.05,0,2.87,0,2.11,0.86,0.76,0,108.79,0,4.14,6.58,0.91,2.7,35.05,0.73,206.07,0,13.53,0.58,0,0,1966.2,0,0,0.58,0,0.8,9.05,0,0,11.05,0
 48-58,0,0,0,0,47.59,0,23.82,0,10.3,0,7.97,0.76,5.86,0,28.59,0,1.76,0,0,3.71,23.5,0.44,179.79,0,6,0,0,0,1133.48,0,0,0,1.12,0,9.9,0,0,0.92,0
 60-70,0,0,0,0,83.45,0,29.85,0.7,12.22,0,4.34,2.23,8.64,0.63,26.31,0,5.97,0,0,2.99,30.22,0,169.7,0,8.2,2.81,0,0,1035.44,0,0,0,0,0,16.38,2.74,0,0,8.52
 72-82,0,0,0,0,95.24,0,17.48,0,4.36,0,1.16,8.72,1.58,0,46.29,0,6.93,0.62,0,7.27,60.34,2.12,118.04,0,7.39,1.63,0,0,647.57,0,0,0.64,0,0,3.94,18.8,0,0,0
 84-94,0,0,1.29,0,164.02,0,27.85,0,29.43,0,7.56,33.24,5.87,0.84,79.63,1.74,5.8,1.12,0,16.96,68.47,0.91,89.87,0,21.7,3.76,0,3.87,1684.94,0,0,2.16,1.38,0,2.21,33.38,0,0,0
 96-106,0,0,0,0,211.98,4.93,23.92,0.62,12.93,0,9.22,47.62,1.06,0,78.6,0,14.91,6.96,0,9.25,77.17,3.53,86.8,0,13.79,0,0,0,1236.72,0,0,0,0,0,4.47,49.96,1.65,0,0
108-118,0,0,0.8,0,215.08,5.08,4.04,0,29.56,0,1.82,57.28,0,2.51,93.72,0.65,3.06,7.18,0,7.98,48.46,0,73.09,0,6.08,0,0,0,965.49,0,0,0,0,0,0.72,56.69,0,0,0
120,0,0,0,0,156.2,0,5.85,0,22.71,1.85,14.08,40.58,0,0,68.22,0,21,0,0,10.73,35.76,0,75.53,0,14.07,8.49,0,0,522.74,0,0,0,0,0,6.86,30.06,0,0,0
