stage,fast_muscle,fin_mesenchyme,immune,liver,mesenchyme,mural_cell,neural,olfactory,vasculature,visceral_smooth_muscle
 48-58,0,0.47,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.05,0,0,0,0
 72-82,0,0,0,0,0.95,0,2.77,1.12,0,0
 84-94,1.15,0.91,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.86
108-118,0,0,0,0,0,0,0,0,0.78,0
120,0,0,3.52,1.47,0,0,0,0,0,0
