stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,46.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,241.78,0,0,8.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.49,118.3,0,0,33.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,37.62,0,0,0,0,0,0,0.89,0,0,1.23,0,0,0,0,0,0,0,0,0,0,152.35,1.12,7.75,0,0,0,0,0,0,46.41,0,0,0,0,0
 24-34,0,0,0.66,3.24,0,0,5.59,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0.83,0,0,0.66,2102.32,0,78.22,1.87,0,0,1.58,1.64,0,718.77,0,0,0,0,0
 36-46,0,0,1.9,3.28,0,0,40.87,0,0,0,30.27,0,0,1.71,0,0.71,0,3.34,0,0,5.51,0,0,0,4100.81,0,68.64,2.14,0,0,3.46,3.23,2.48,1371.62,0,0,13.41,0,0
 48-58,0,0,0,5.75,0,0,184.32,1.02,0,0,65.06,0,0,0,7.49,0,0.43,1.08,0,0,22.08,0,0,11.51,5231.78,0,51.77,0,0,0,2.24,0.38,0,1263.95,0,0,3.38,0,0
 60-70,0,0,2.27,9.72,2.21,0,310.39,0,0,0,46.15,0,0,0,1.63,0,9.62,0.77,0,0,15.99,1.43,0,0,5613.29,0,37.98,2.31,0,0,1.33,0,1.33,1016.59,0.65,0,0,0,0
 72-82,0,0,2.66,19.22,0,0,354.25,0,1.51,0.74,103.06,0.66,0.59,0.6,0,0,2.68,3.76,0,1.8,41.52,5.47,0.98,1.66,5579.36,0,56.18,7.33,0,0.83,0,0.97,0,792.15,5.43,0,2.16,0.9,9.7
 84-94,0,0,1.65,26.99,0,0,389.44,0,0,0,122.12,1.49,0,0,0.64,0,0.67,4.69,0,0,41.05,9.58,2.86,4.03,3849.55,3.1,41.85,4.2,0,0,11.9,0.63,0.95,400.71,15.6,2.41,0,1.13,6.59
 96-106,0,0,1.98,10.17,9.29,0,277.86,0.81,0,0,173.65,5.53,0,0,0,0.93,0,1.11,0,0,73.27,2.31,1.02,3.08,3346,1.64,75.9,7.87,0,2.45,10.15,0,0,190.34,11.71,0,0,0.59,0
108-118,0,0,2.21,17.65,3.51,0.46,236.66,0,0.51,0,149.31,14.01,0,0,1.31,3.95,3.13,4.79,2.79,2.1,49.88,10.36,1.48,1.83,3029.2,0,30.23,18.09,0,0,1.23,0,0,139.28,12.06,0,3.71,0,0.92
120,0,0,0,23.52,0,0,257.31,5.8,0,0,166.28,4.51,0,0,0,0,0,1.6,0,0,89.31,1.31,4.93,8.16,4368.17,3.33,114.48,27.44,0,0,18.36,0,0,302.99,3.78,0,0,0,0
