stage,blastomeres,epidermis,fin.epithelia,gut,immune,mesenchyme,periderm
  5-6,7.88,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.37,0
 96-106,0,0,0,0,2.13,0,0
108-118,0,3.56,0,1.26,0,0,1.3
120,0,0,1.04,0,0,0,18.45
