stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,35.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1,0,0,0,11.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,39.7,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,1.11,1.85,23.8,4.68,1.75,0,0,4.5,0.85,0,0,0,0,0,0,0,9.87,0,0,4.33,86.89,2.41,1.02,0,1.94,1.11,1.53,15.31,1.87,1.69,7.11,24.03,0,1.06,0
 24-34,0,0,0.6,0,0.64,0.89,8.8,2.36,0.61,0,0,0,0,0,0,0,0,0,15.36,0,0,3.18,104.32,0,0,1.89,0,0.64,0,0,0,0,1.02,19.58,0,2.74,0
 36-46,0,0,0,0,1.36,0,4.73,0,0,4.8,0,0,0,0,0,0,10.04,0,6.6,1.99,0,0.71,47.52,0,1.61,0,0,5.57,0,0,0,0,0,8.13,0,0,0
 48-58,0,0,0,0,0,0,13.53,0,0.55,2.14,0,0,0,0,0,0,0,0,7.27,0,0,0,23.48,0,0,0.41,0,0.87,0,0,0,0,0,5.92,0,0,0
 60-70,0,0,0,0,3.04,0,7.64,0,0.86,6.16,0,0,0,0,0,0,0,0,10.99,0,0,1.86,19.81,0,0,0,0,0,0,0,0,0,0,1.26,0,1.11,0
 72-82,0,0,0,0,1.84,0,0.79,0,0,3.61,0,0,0,0,0,0,0,0,4.59,0,0,1.82,19.86,0,0,0,0,0.49,0,0,0,0,0,3.1,0,0.72,0
 84-94,0,0,0,0,0.68,0,4.86,0,0,0,0,0,0.7,0,1.13,0,0,0,2.58,0,0.73,0,6.22,0,0,0,0,0,0,0,0,0,0,1.61,0,1.3,0
 96-106,0,0,0,0,0.58,0,0.98,0,0,1.16,0,0,0,0.56,0,0,2.67,0,4.83,0,0,1.01,0.81,0,0,1.36,0,1.5,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,3.64,0,0,0,0,0,0,1.55,0,0,0,1.02,4.55,0,0,0,12.9,0,0,1.41,0,0,0,0,0,0,0,0,1.12,0,0
120,0,0,0,0,0,0,11.85,0,0,15.34,0,0,0,0,0,4.16,0,0,4.11,0,0,1.81,15.07,2.35,0,2,0,1.01,0,0,0,0,0,12.38,0,0,4.54
