stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0
 14-21,0,10.36,0.94,0,0,0,0,0,3.76,0,0,0,0,1.67,0,0,25.25,1.08,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.52,0,0,1.82,2.59,14.94,0,0,51.1,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.43,0,0,2.05,0,13.82,0,0,59.7,0,0.66,0,0
 48-58,0,0,1.45,0,0.75,0,0.48,0.97,0.38,0,0.43,1.19,0.71,21.31,10.31,0.62,14.48,0,1.19,0,0
 60-70,0,0,0,0,5.74,0,0,0.76,14.18,0,0,2.03,0,6.05,0,0,26.9,0,0,0,0
 72-82,0,0,0,0,0.75,0.51,2.76,0,3.21,0,0,0,0,1.02,0,0,10.91,0,0,0.94,0
 84-94,0,0,0.97,0,10.58,0,0.77,0.57,3.33,0,0,0,0,0,0,0,19.97,0,0.75,0,0
 96-106,0,0,6.15,0,0,0,1.16,0,3.86,0,0,0,0,16.33,0,0,28.38,0,0,0,0
108-118,0,0,6.98,0.5,3.76,0,0,0,4.26,6.39,0,0,0,0,0,0,25.97,0,0,0,0
120,0,0,3.54,0,0,0,0,0,2.67,0,0,0,0,16.39,0,0,14.18,0,0,0,8.01
