stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,mesenchyme,mural.cell,neural,notochord,periderm,pronephros,vasculature
  3-4,13.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.89,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.29,0,0,0,0,5.86,0,0
 36-46,0,0.86,0,0,0,0,0,1.22,0,12.19,0,4.53
 48-58,0,0,0,0,0,0,0,0.46,0,9.89,0,0
 60-70,0,0,0,0,0,0,0,0.74,0,10.77,0,0
 72-82,0,0,0,2.11,0,0,0,3.34,0,5.65,0,3.91
 84-94,0,2.22,0,0,0.66,0,0,0,0,10.64,0.74,3.34
 96-106,0,0,0,0,0,1.19,0,5.16,0.58,8.95,0,0
108-118,0,0,1.82,0,0,0.75,6.84,1.97,0,4.98,0.42,0
120,0,0,0,1.01,0,5.11,0,10.71,0,1.35,0,0
