stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.67,2.4,1.52,0,0.91,0,0,0,0,0,57.33,0,0,0,0,0,0,0,0,6.04,0,0,2.26,0,0,0,0,2.24,0,0,0,0,0
 36-46,0,0.96,0,0,0,0,0,0,0,0,235.02,0,0,0,0,2.39,0,0.8,0,4.12,0,0,1.31,0,0,0,0,3.65,0,0,3.16,0,0
 48-58,0,0,4.08,0,0,0,0,0,0,0,249.58,0,0,0,0,0.45,0,0.8,0.66,7.89,0,0,0,0,0,3.41,0,0.56,0,0,4.28,0,2.82
 60-70,0,0,0,0,12.58,0,0,1.64,0,0,538.86,0,0,0,0,2.52,0,0,0,24.79,0,0,0,0,0,1.68,0,4.01,0,0,14.85,0,0
 72-82,0,0,1.43,0,9.4,0,0,1.07,4.91,0,824.78,0,0,3.06,0,5.9,0,1.89,1.51,28.9,0,0,0,0,0,0.53,0,0,0,0.9,34.9,0.73,0
 84-94,0,4.39,17.47,0,6.87,0.68,0,3.66,2.94,0,1079.9,0,0,0,0,1.75,2.59,1.6,0,10.27,0,0,0.65,0,0,6.9,0,2.99,1.39,2.89,42.99,4.44,0
 96-106,0,19.99,27.59,0.62,26.96,0,1.57,5.61,12.58,0,1944.67,5.19,1.6,1.78,13.04,36.84,0,0.62,3.74,66.26,0.98,0,2.03,0,0,29.36,0,0,0,0.93,155.31,1.22,7.77
108-118,0,6.65,16.34,4.42,16.4,0,3.83,17.36,7.99,2.95,2301.55,0.44,0,0,0,19.15,0,0,0,116.43,0,0,0,0,0,7.4,0.41,1.92,2.47,1.53,90.49,0,0
120,0,8.42,12.75,0,40.25,0,0,7.3,6.57,0,2293.91,0,0,11.47,2.51,25.55,0,0,28.21,71.93,0,2.62,1.02,0,5.46,1.24,0,0,0,0,93.01,0,0
