stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.59,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.07,0,0,0,3.74,0,0,0,0,0,3.54,0,0,0,0,0,0,0,83.6,7.1,0,57.71,0,0,0,0,0,0,0,0,0
 10-12,0,19.64,13.52,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98,7.21,0,53.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.7,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29,1.82,0,0,2.3,2.04,0,0,2.08,5.33,0,0,0
 24-34,0,0,0.67,1.46,1.51,0,0,0,0.8,0,0,0,0,0.63,0,8.8,0,2.23,81.06,0.9,0,0,6.14,0,0,0,0,16.79,0,1.71,0
 36-46,0,0,0,0,2.81,0,0,0,18.96,0,0,0,0,1.09,0,3.13,0,0,88.1,0,0,0,1.57,0,0,0.58,0,30.57,0,2.52,0
 48-58,0,0,0,2.54,2.83,0,0.5,0,15.17,0,0,0,0,2.04,0,4.86,0,0,33.52,0,0,0,1.84,0,0,0.46,0,33.09,0,0,0
 60-70,0,0,0,0.75,15.14,3.7,5.53,0,13.36,0,0,0,0,1.82,0,7.76,1.05,4.13,33.92,0,0,0,3.21,0,0,0,0,11.8,1.29,0,6.15
 72-82,0,0,0,1.31,1.4,0,0,3.87,6.14,0,0,0,0,3.7,0,9.45,0,0.59,34.47,0,0,0,0,0,0.55,0,0,0,0,1.37,0
 84-94,0,0,0,6.11,28.2,0.69,0,0,10.64,0,0,0,0.75,0,0,6.05,0,0,15.8,0,0,0,7.2,0,0,0,0,0.74,0,0,0
 96-106,0,0,0,5.66,2.64,0.93,1.65,0,5.71,0,0,0,0,0,0,4.96,4.2,2.78,7.19,0,0,0,8.93,0,0,0,0,0,2.46,0,0
108-118,0,0,0,3.58,2.86,0,1.09,0,8.2,0,0,0.44,0,0,0.64,11.14,0,0.45,10.7,1.2,0,0,3.51,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.19,0,19.38,1.74,0,0,0,0,0,3.04,0,5.08,15.58,0,2.11,0,1.96,0,0,0,0,0,0,0,0
