stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,neural,notochord,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.04,0,0,0.93,0,0,0,0
 24-34,0,0.84,0,0,0,0,0,0,17.21,0,0,0,2.26,0,0,0
 36-46,0,6.7,0,0,0,0,0,0,16.3,0,0,0,4.85,0,0,0
 48-58,0,0.54,0.54,0,0.39,0,0,0.47,10.49,0,0,0,3.53,0,0,0
 60-70,0,1.38,5.15,0,1.12,0,0,0.88,8.95,0,0,0,5.36,2.51,0,0
 72-82,0,9.6,2.74,0,0.94,0,0,0.86,14.79,0,0,0,6.93,11.53,0,0
 84-94,0,13.01,0,0.87,1.43,2.23,0,2.52,17.38,0,4.79,0,0,116.3,0,11.32
 96-106,0,10.01,4.21,0,0,0,1.39,3.16,17.91,0,0,0,0.84,200.05,0,0
108-118,0.81,4.51,6.25,0.56,0.86,0,0,10.17,16.37,0.52,0,0,3.23,125.29,0,0
120,0,11.4,1.08,0,0,1.39,0,10.44,50.22,0,0,0,0,71.94,2.55,0
