stage,blastomeres,epidermis,eye,gut,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,spinal.cord
  3-4,27.95,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,41.21,0,14.03,0
 10-12,0,0,0,0,0,0,0,30,0,0,0
 14-21,0,0,0,0,0,0,0,0.87,0,0,1.43
 24-34,0,0.65,0,0,1.32,0,0,1.59,0,0,0
 36-46,0,0,0.67,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.49,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1,0,0,0
 72-82,0,0,0,0,0,0,0.57,0,0,0,0
 84-94,0,0,0,0,0,0,0,6.83,0,0,0
 96-106,0,0.75,0,0,0,0,0,0,2.43,0,0
120,0,2.27,0,1.15,0,0,0,0,0,0,0
