stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.53,50.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,15.82,0,0,13.25,0,0,0,0,0,0
 14-21,0,0,0,0.85,8.4,0,0,0,0,1.23,0,0,0,8.15,1.62,0,0,0,2.46,1.95,0,0,1.04,7.53,0,0,0,0,0,0,0,0,6.73,0,0,0,1.26
 24-34,0,0,0,1.49,1.43,0,0,0,0,2.52,0.66,0,0,35.12,0.79,0,0,0,0,4.11,0,0,5.31,11.93,0.62,0,0,0,0,0,0,0,6.32,0,8.7,0,1.93
 36-46,0,0,0,0,0,1.07,0,0,0,0.64,1.29,0,0,55.17,0,10.21,0,1.74,0,5.4,0.72,0,5.02,14.68,0,0,0,0,0,0,0,0,5.36,0,11.62,0,4.47
 48-58,0,0,0,0,0,1.23,0,0,0.81,0,0,0,0,62.4,0,3.36,0.44,0,0,5.41,0.94,0,1.67,3.2,0,0.86,0,0,0,0,0,0.68,6.66,0,0.91,0,0.93
 60-70,0,0,0,0,3.84,10.95,0,0,0,3.95,1.39,0,0,116.69,0,10.12,0,0,0,5.46,0.67,0,0.74,14.06,0,0,1.71,0,0,0,0,0.6,1.5,0,10.18,0,3.13
 72-82,0,0,0.71,0,0,9.4,0,2.44,0,8.04,10.65,2.36,0,93.21,0,2.01,0,0,0,11.37,2.36,0,3.17,26.71,0,0.74,7.49,1.13,1.97,0,0,1.69,9.13,1.76,1.84,0,0
 84-94,0,0,1.46,4.09,0,3.48,0.56,0,0,5,19.44,4.29,0,98.84,0,8.05,0.92,0.57,0,5.57,0,0,2.72,12,0,0,11.5,0,0,0,1.66,0,4.59,0,4.75,0,0
 96-106,0,0,2.5,10.29,0.96,0.82,0,1.22,0,9.54,18.29,0,0.62,122.32,0,2.44,0,9.4,0,5.06,0,4.16,4.22,19.37,0.58,1.76,8.03,0,0,5.62,1.31,0,0,0,5.41,0.61,0
108-118,0,0,0.8,4.47,0.8,2.29,0,0,0.83,3.32,29.54,0,0,120.48,0,6.08,0,1.64,0,5.06,6.71,0,1.03,11.25,0,1.38,3.03,0,0,0,1.42,0,1.47,0,4.24,0,0
120,0,0,0,4.26,0,16.6,0,1.37,0,4.67,17.79,0,0,162.42,0,10.22,1.15,9.99,0,2.56,0,0,2.36,20.85,4.62,0,1.86,0,0,0,0,0,2.68,0,6.67,0,0
