stage,axial,blastomeres,endoderm,epidermis,gut,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,taste,vasculature
  3-4,227.33,5689.11,0,0,0,0,0,0,309.86,0,0,0
  5-6,103.76,1393.77,10.26,0,0,58.36,7.03,9.89,23.3,0,0,0
  7-9,20.48,0,0,0,0,101.56,11.33,30.32,0,0,0,0
 10-12,0,0,0,0,0,12.31,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.17,0,0,0,1.7,0,0
 24-34,0,0,0,0,0,2.49,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.82,0,0,0,0,0,0
 60-70,0,0,0,0,1.69,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,1.37
 84-94,0,0,0,0,0,0,0,0,0,0,0.78,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.59
108-118,0,0,0.74,1.01,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.18,0,0,0,0,0,0
