stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,97.27,3274.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.66,0,0,0,0,0,0,0,0,0,0,0
  5-6,167.88,3198.59,0,6.55,0,0,0,0,0,0,0,0,38.34,0,0,0,0,0,0,0,0,0,0,0,185.41,0,0,0,22.05,0,16.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,259.53,156.61,0,215.83,0,0,0,371.89,0,0,0,0,197.6,0,0,0,0,0,0,0,0,0,0,0,2847.89,283.1,0,0,1299.89,0,0,19.02,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,44.97,0,237.42,0,34.36,0,231.6,0,0,0,0,54.99,0,0,0,0,0,0,0,0,0,0,0,3024.31,430.58,0,0,1058.64,0,0,13.12,13.71,139,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.19,535.5,37.83,0,30.61,1.17,0,8.46,17.8,0.91,0.93,0,0.84,0,0,0,4.27,130.85,0.9,0,92.12,655.05,57.25,0,18.69,21.43,0,0,3.12,60.55,8.84,1.09,48.7,220.7,0,0,6.41,0,3.07
 24-34,0.88,0,0,3.2,209.48,8.3,0,64.85,23.32,4.02,31.82,1.35,0,4.79,0,0.62,2.05,4.35,1.27,2.78,235.59,3.37,0,128.84,1340.27,21.38,6.26,17.6,0,0,6.39,0,0,1.68,0,20.36,388.62,0,0,68.26,0,14.45
 36-46,0,0,0.74,0.63,75.37,1.7,0,75.8,11.34,14.95,96.62,0.66,0,5.8,7.93,0,0,0.62,0.57,14.14,384.25,0,1.69,97.41,902.77,35.59,0,10.86,0,0,5.51,0,0,0.88,0,0,333.93,0,0.62,35.37,0,8.83
 48-58,0,0,0.46,0.43,39.84,0,0,91.71,26.34,51.14,161.32,0.46,0,6.6,13.95,0,3.19,2.26,1.66,8.29,469.87,0.82,8.35,70.31,344.81,19.68,1.37,11.52,0,0.4,0.39,0,0,0.8,1.13,0,197.2,0,1.15,21.43,0,12.65
 60-70,0,0,0,0,42.02,0,0,65.17,34.53,42.8,220.56,0,0,2.55,0.67,0.6,0.58,3.54,0,1.64,627.54,0.58,16.99,50.47,158.59,12.23,0.71,6.48,0,1.9,2,0,0,0,2.06,0,53.97,0,7.06,7.88,5.5,30.56
 72-82,0,0,0,0,25.92,6.68,0,68.97,9.68,28.26,257.77,1.99,0,10.72,4.82,0,7.64,4.12,0,0,683.39,0,18.69,41.75,97.03,6.93,3.47,16.56,0,5.06,3.58,0,0,0,0,0,24.56,1.89,9.52,47.01,10.89,7.02
 84-94,0,0,0,0,46.36,2.2,0,83.31,19.42,33.04,217.65,5.12,0.6,3.54,10.35,1.81,8.48,0.69,3,8.2,540.32,0,23.45,36.37,69.11,5.71,3.86,14.93,0,2.49,2.38,0,0,0.62,0,0,22.74,0,3.46,36.43,14.54,4.37
 96-106,0,0,3.88,0,38.48,1.12,0,44.07,17.49,31.33,246.79,6.34,0,6.03,21.71,0,1.82,5.99,8.93,4.97,486.53,0.63,19.14,22.33,127.66,5.92,2.95,24.43,0,10.19,4.85,0,0,0.7,0,0,15.39,5.67,7.36,33,24.6,27.57
108-118,0,0,0,0.49,52.15,8.13,0.72,55.74,15.18,14.16,227.23,3.94,0,1.36,15.92,0.57,4.91,6.45,0.42,3.42,457.35,0,21.22,19.21,120.07,2.75,1.29,18.13,0,17.88,0,0,0,1.54,0.53,0,12.51,2.3,6.4,42.63,11.9,19.6
120,0,0,0,1.28,58.97,4.7,0,86.29,23.65,19.83,214.38,4.57,0,8.84,16.95,0,5.27,1.88,1.5,1.96,402.38,1.15,6.76,14.05,122.3,13.57,11.95,36.21,0,19.37,0,0,0,0,0,0,0,1.14,2.71,23.15,9.52,6.87
