stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,159.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,178.38,0,0,0,0,0,0,0,0,0,0,0,13.03,0,8.03,0,0,0,0,0,0,0
  7-9,0,3.54,0,0,0,0,0,0,0,0,0,0,18.33,0,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.68,2.04,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0.85,0,0
 36-46,0,0,0,0,0,0,0,0,0.57,0.65,0,0,3.97,0,0,0,0,0,0,1.4,0,0
 48-58,0,0,0,1.12,0,0.62,0,0,0,0.42,0,0,12.84,0,0,0,0,0,0,0,0,0.78
 60-70,0,0,0,0,0.68,0,0,0,1.55,0,0.79,1.96,5.81,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.55,0,0,0,2.96,0.65,2.26,0,0,2.78,0,0,0,1,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,1.4,0
 96-106,0,0,0,1.51,0,1.1,0,0,1.76,1.16,0,0,3.45,0.59,0,1.47,1.02,0,0,1.96,0,0
108-118,0,0,0,0.7,0,0,0,0,0,0.43,0,0,3.27,0,0,0,1.85,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
