stage,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.96,0,0,0,0.83,0.84
 24-34,0,0,0,0,0.8,0,0,0,0,0,0,0,1.85,0,0,1.45,0,0,0,1.38
 36-46,0.57,0,0,7.35,0,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0
 48-58,0,0,1.73,0.39,0,0,0.57,0,0,0,0,4.89,0,0,0,14.9,0,0,0,2.2
 60-70,0,0,13.33,0,0,0.64,0,0,0,0,0,1.12,0,0,0,7.09,9.91,0,6.53,0
 72-82,0,0,1.89,0,4.19,1.26,0,0.54,0,0,0,2.1,0,1.09,0.57,21.87,0,0,6.24,0
 84-94,0,0,2.41,0,0,2.72,0,1.01,0,0,0,0,0,0,0,8.98,0,0,0.69,0
 96-106,0,2.12,8.67,0,0,3.6,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,28.96,7.26,0,0.87,10.05,0,2.21,0,0.63,0.76,2.82,0,0,0,6.56,0,0,0,0
120,0,6.39,17.27,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0
