stage,axial,eye,glial,immune,mesenchyme,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,16.62,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.67,0,0,0,0,0,0
 14-21,0,1.76,0,0,0,1.02,0,0,1.54,0,0,0
 24-34,0,0,0,0,0,17.95,0,7.46,0.76,0.85,1.41,0
 36-46,0,2,1.24,0,0,3.37,0,0,0,0,1.87,0
 48-58,0,0,0,0,0,1.62,0,0,0,0,1.14,0
 60-70,0,0,0,0,0,0,0,0,3.95,0,0,0
 72-82,0,1.45,1.03,0,0,9.34,0,0,0,0,0,0
 84-94,0,0,0,0,2.11,2.02,1.29,0,0,0,0,0.86
 96-106,0,0,0,0,0,0.67,0,0,0,0,0,0
108-118,0,0,0,0.68,0,0,0,0,0,0,1.4,0
120,0,11.33,0,0,0,0,0,0,0,0,0,0
