stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,70.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.19,86.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,36.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,17.91,0,0,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.46,0,17.95,0,7.97,0,42.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.94,5.33,0,0,315.28,0,0,12.11,4.19,70.11,0,0,9.81,0,0,0,0,0
 14-21,0,0,0,2.75,23.92,1.2,0,6.73,0,0,0,6.02,3.9,0,0,0,0,0,0,0,17.37,0,0,14.45,153.82,4.76,0,0,23.98,0,0,0,33.54,0,0.93,21.85,97.29,0,0,0,0,0
 24-34,0,0,0,0.6,32.57,1.29,0,86.91,0,7.48,2.23,18.3,3.75,0,0,0.74,0,0.86,0,0,40.64,7.63,0,32.18,2474.61,0.6,2.07,3.47,0,0,5.77,0,0,0,5.19,10.06,531.18,0,0,14.18,0,1.18
 36-46,0,0,0,0,23.24,0,0,213.93,6.72,2.15,4.06,219.23,0,0,0,0,21.51,0,0,0,56.89,0,5.08,22.04,5261.01,1.76,15.02,0,0,0,5.11,0,0,0,4.26,3.51,1564.63,0,0,14.09,0,0
 48-58,0,0,0,0,36.28,0,0,499.77,3.37,19.35,1.29,374.03,4.28,9.2,0,0.4,9.86,0.46,0,0,83.67,0,27.63,17.84,2018,1.77,8,1.26,0,0,3.31,0,0,0,7.08,0,1040.51,0,1.39,20.96,0,0.83
 60-70,0,0,0,0,19.69,4.24,0,592.88,12.18,19.38,2.89,157.95,2.42,5.09,2.39,3.64,7.01,1.52,0,0.71,99.61,1.53,11.1,10.9,674.55,1.33,3.11,1.72,0,1.19,1.7,0,0,2.11,10.77,0,261.29,0,3.53,10.69,2.76,2.71
 72-82,0,0,0,0,22.14,15.57,0,396.16,4.73,5.25,5.89,84.13,5.32,0.56,2.12,0.55,2.23,0.94,0,0,146.47,7.26,6.46,8.86,331.58,2.13,2.53,5.03,0,4.71,1.29,0,0,0,0.53,0,27,0,7.63,51.65,5.14,3.22
 84-94,0,0,0.66,0,22.43,14.92,0,301.49,7.33,9.65,10.34,58.63,20,0.85,4.46,0,4.55,0,2.33,0,136.93,0,12.44,3.96,199,4.35,26.11,3.53,0,2.56,0,0,0,1.35,7.58,0,51.31,0,2.72,14.13,4.39,7.27
 96-106,0,0,0,0,24.02,16.27,0,237.24,1.98,3.12,7.39,61.73,8.97,6.84,6.61,0.56,13.12,5.96,1.84,0,122.36,0,3.41,19.36,218.26,0,8.24,0.61,10.66,3.63,5.58,0,0,0,2.07,0,33.87,0.61,4.87,34.08,7.03,5.07
108-118,0,0,0,0,26.64,3.45,0.64,259.32,2.52,7.12,2.46,51.16,8.48,6.1,6.63,3,24.81,1.26,7.99,2.04,105.93,2.8,5.92,13.96,217.33,0.69,9.89,14.22,0,12.61,5.77,0,0,0,8.53,0,18.94,1.93,1.89,26.67,6.61,12.41
120,0,0,0,0,59.43,2.72,0,250.03,3.35,3.96,3.49,120.28,11.99,1.17,4.58,7.01,10.04,1.74,7.59,0,166.36,0,11.39,25.15,276.79,0,30.48,15.85,0,19.49,2.95,0,0,0,4.99,0,4.09,0,16.65,37.74,11.03,3.58
