stage,blastomeres,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.05,2.71,0,0,0,1.92,0,0.85,0,0
 24-34,0,0,0,0,1,0,1.54,8.47,0,0,0.85,0,0,1.5,0,0
 36-46,0,0,0,0.89,1.64,0,0,6.96,0,0,12.44,0,0,3.53,0,0
 48-58,0,0,3.62,1.34,2.04,0,0,9.54,0.56,0,0,0,0,4.22,0,0
 60-70,0,0,13.43,0.7,0,0,1.06,23.7,0,0,0,0,0,3.55,0,0
 72-82,0,0,8.05,3.96,2.31,0,0,18.93,0,0,0,0,1.72,0,0,0
 84-94,0,0.9,13.86,3.39,2.24,1.44,0,2.55,0,2.11,0,0,0.62,0,1.24,0
 96-106,0,0.71,0,0,1.42,0,0,9.59,0,0,0,0,0,0,0,1.92
108-118,0,0,0.87,0.74,2.96,0,1.74,26.6,1.1,0,0,0,0.55,3.42,0,0
120,0,0,48.29,0,9.37,0,0,30.69,0,4.98,0,0,0,0,0,0
