stage,blastomeres,endoderm,eye,hatching.gland,neural,paraxial.mesoderm
  3-4,10.11,0,0,0,0,0
  5-6,129.12,0,0,0,0,0
  7-9,0,0,22.41,5.46,83.26,15.27
 10-12,0,5.62,3.23,0,26.39,33.67
