stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.88,0,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,0,0,37.97,0,10.74,0,27.49,0,0,0,0,0,0,0,0
 14-21,0,0,9.16,357.66,32.59,0,0,0,0,0,48.18,10.78,0,2.86,0,0,2.09,0,78.04,0,0,18.78,27.1,0,0,3.18,0,36.85,4.89,0,0,2.22,18.38,0,0,0,0,0
 24-34,0,0,4.85,65.51,0,5.41,0,0,0,1.95,4.3,1.34,0,0,0,0,0,0,62.4,0.93,0,15.47,283.56,0,0,0,0,0,0,0,0,0,75.09,0,0,1.16,0,0
 36-46,0,0,0,0.94,0,33.12,0,0,0,9.83,1.72,0,0,0,0,0,0,0,38.98,0,3.45,7.35,852.23,0,0,0,0,0,0,0,0,0,191.9,0,0,0,0,0
 48-58,0,0,0,7.5,0,214.5,0,2.05,0,18.06,0.69,0,0,0.55,0,0.65,0,0,5.88,0,0.53,0.45,1431.31,0.47,0,0,0.39,0.53,0,0,0,0,245.67,0,0,0,0,0
 60-70,0,0,0,10.63,0,540.49,0,0,1.26,29.81,2.68,0,0,0,0,1.69,0,0,15.27,0,0,0,1800.32,0,6.8,0,0,2.39,0,0,0,0,308.93,0,0,0,1.28,3.64
 72-82,0,0,0,16.47,0.5,680.45,0,0,2.32,18.61,1.14,0,1.32,0,3.77,0,0,0,36.39,0,2.24,0.71,1809.97,0,0,0,0.71,0,0,0,0,0,129.92,0,0,3.84,0,3.97
 84-94,0,1.29,0,10.12,0,664.9,0.76,0.68,8.01,13.95,1.33,0,0,0,15.38,0.66,0,0.99,10.47,0,0.63,0,1326.71,0,0.71,0,0,4.58,0,0,0,0,96.05,0,2.12,0,0,18.5
 96-106,0,0,0,8.05,6.79,507.3,0,0,0,22.7,0,0,0.81,0,0,0,8.52,0,8.39,0,0,6.09,1188.27,0,2.21,0,0,3.31,0,0,0,0,34.97,0.81,1.2,0,3.61,0
108-118,0,0,0,6.45,8.95,495.97,0,0,0,19.85,0,0,0,0,5.15,0,0,0,15.25,0,0,3.76,1093.86,0,2.99,0,6.2,0,0,0,0.44,0,26.62,0,0,0,1.42,0
120,0,0,0,16.17,0,491.79,0,0,19.12,47.49,0,0,6.82,0,0,0,0,0,41.13,0,12.61,3.92,2307.95,0,0,0,0,1.06,0,0,0,0,66.29,6,0,12.44,0,0
