stage,eye,glial,neural,spinal_cord,vasculature
 14-21,1.18,0,2.52,0,0
 24-34,0,0,0,0.83,0
 36-46,0.56,0,0.72,0,0
 72-82,0,0.85,0,0.73,0
108-118,0,2.52,0,0,0
120,0,0,0,0,3.14
