stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.87,89.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0
  5-6,22.41,272.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,20.72,0,0,0,0,0,0
  7-9,0,4.39,0,3.3,0,0,16.17,0,0,0,6.49,0,0,0,0,0,0,126.53,0,0,0,41.44,0,0,0,0,0,0,0
 10-12,0,0,0,8.11,0,0,40.09,0,0,0,6.05,0,0,0,0,0,0,85.15,0,0,0,45.84,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.75,1.09,1.03,0,2.17,1.29,0,0,0,0,0,0,0,15.79,0,0,0,0,4.66,1.44,0,8.79,0,0,0
 24-34,0,0,0,0,1.84,0,4.32,0,1.07,0,0,0,0,0.62,7.22,0,4.11,33.86,0,2.5,0,0,1.18,0,0,7.65,0,1.24,0
 36-46,0,0,0,0,0.62,0,7.96,0.57,4.09,0,0,0,0.72,0,5.2,0,1.84,57.25,0,0.88,0,0,0,0,0,5.12,0,0,0
 48-58,0,0,0,0,0,0,3.68,0,0.85,0,0,0,0,0,3.13,0,0.67,26.5,0,0,0,0,5.77,0,0,8.2,0,0,0
 60-70,0,0,0,0,1.97,0,5.24,0,1.7,0,0,0,0,0,8.23,0.7,0,4.64,0,0,0,0,0.7,0,1.88,0.94,4.5,0,0
 72-82,0,0,0,0,0,0,7.82,0,2.68,0,0,0,0,0,3.73,0,0.62,12.65,1.8,0,0,0,0,0,0,3.9,0,0.98,0
 84-94,0,0,0,0,0,0,2.45,0,0,0,0,1.33,0,0,11,0,2.75,15.74,0,0,1.68,0,0,0,0,7.45,0,0,0
 96-106,0,0,0,0,1.01,0,7.02,0,4.56,0,0,0,0,0,0.6,0,0,13.35,0,0,0.98,0,3.36,0,0,0,0,0,0
108-118,0,0,0.58,0,1.73,0,7.34,0,2.34,0,0,0,0.78,0,2.98,0,5.47,9.86,0,0,0,0,1.56,0,0,0,0,0,0
120,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42
