stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.27,7.61,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,76.41,0.81,0,0,0,0,1.84,0,1.41,0.82,45.12,0,1.98,0,0
 24-34,2.25,0,9.21,0,15.23,0,0,0,9.96,0,0,3.15,0,0.99,0,0,5.38,6,0,3.49,741.49,5.17,0.73,0,0,0,0,0,0,0.74,136.74,0,14.12,0,3.27
 36-46,0.98,0.62,1.3,0,25.86,0,0,1.18,15.41,0,0,2.33,0,3.97,0,0,6.61,29.38,0,12.3,1727.1,7.04,4.27,0,0,0,0,0,0,0,251.33,0,9.91,0,9.51
 48-58,0.44,4.71,1.96,0,155.07,0,0,13.46,56.54,0,2.57,0.98,0,2.92,0.44,0,6.8,45.83,1.34,5.61,2222.98,11.56,4.05,0,0.39,0.44,0,0,0,0,347.81,0,13.05,0,7.69
 60-70,0.82,3.2,5.94,0,397.31,0,0.74,0,130.3,0,0.75,0.65,0,9.8,0.69,0,9.81,77.78,6.53,4.47,3045.4,0,2.84,1.12,0,7.32,0,0,0,0,314.09,0,6.19,0,26.96
 72-82,0,5.02,4.43,0,280.88,1.33,4.23,1.31,124.71,0,1.37,9.24,0,12.69,0,0,0.57,61.43,3.33,0,1551.01,1.04,3.15,1.15,0,1.7,0,1.58,0,0,117.69,1.46,26.18,2.36,9.83
 84-94,0,6.31,22.1,0,188.03,0,0,0,114.39,0.84,1.27,7.47,0,10.26,0,1.18,1.25,45.59,4.08,0,1037.38,1.56,4.64,0,0,0,0,0,0.57,0,71.1,3.39,18.68,2.52,2.1
 96-106,0,2.86,15.4,0,110.21,6.41,0,0,95.88,0.71,2.27,6.78,0,5.7,2.23,10.96,0.6,34.16,2.63,0,618.4,0.69,5.33,0,0,1.94,0,0,0,0,23.91,0,22.6,1.03,1.41
108-118,0.79,1.67,7.3,1.46,148.26,0.49,0,0,79.77,1.1,0.49,12.84,0.42,15.12,0.84,2.52,1.1,21.32,0,1.14,660.15,1.11,2.36,2.83,0,0.6,0,0,0,0,18.9,0,29.36,5.33,8.72
120,0,6.09,1.2,0,103.45,0,0,0,146.24,8.85,0,8.84,4.13,6.93,0,0,0,14.59,1.26,4.16,765.46,0,0,0,0,0,0,0,0,0,12.6,6.83,9.08,0,0
