stage,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,1.13,1.41,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.17,0,0,0.83,0
 36-46,0,0,0,0,16.04,0,0,10.07,0,0,0,0
 48-58,0,2.96,0,1.11,4.77,0.49,0,20.07,0,0,3.22,0
 60-70,0,4.98,0,1.04,7.1,0.96,0,24.62,0,0,0.77,0
 72-82,0,0.84,0,0,2.79,3.29,0,0.77,0,0,0,0.94
 84-94,0,2.27,0,1.52,6.84,8.94,0,10.15,0.78,3.59,0,0
 96-106,0,0,0.71,0.68,23.09,3.22,0,1.35,0,1.52,0,0
108-118,0.56,0.85,0,0,17.77,0.48,0,5.1,0,8.62,0,0
120,3.86,0,0,2.89,28.18,0,0,4.95,0,1.77,0,0
