stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,4.34,0,0,0,0,0,0,0
 14-21,0,0,2.36,0.97,0,0,0,0,0,0,0,0,0,0.92,0,1.78,0,0,0,0,0,0,1.13,0,0,0,0
 24-34,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0.75,0,0,1.58,20.46,0,2.52,0,0,0
 36-46,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,5.83,0,0,0,0,0,53.16,0,2.05,0,0,0
 48-58,0,0,0,0,0,1.46,6.44,0,0.49,0,0,0,4.18,0,0.49,11.95,0,0,0,0,0,47.77,0,0,0,0,0
 60-70,0,0,0,0,0,20.68,0,0,0,0,0,4.66,0,0.68,0,15.46,1.73,0,0,0,0,55.37,0,0,0,0,0
 72-82,0,0,0,1.45,0,42.25,0,1.07,0,0,0,0,0,4.35,0,28.67,0,0,6.14,0,1.89,90.35,0,0,0.56,0,0
 84-94,0,0,0,0,0,24.85,0,0,0,0,0,0,6.3,4.96,0,27.73,0,0,0,0,0,180.77,0,3.44,0,0,0
 96-106,0,0,0.74,0,1.05,51.39,0,1.34,0,0,4.91,0,0,2.22,0,16.52,0,0,1.26,0,1.1,212.26,0,0,0,0,0
108-118,0,0,3.22,1.45,0,27.05,0.65,0,2.2,1.77,0,0.65,6.16,0.96,0,46.13,0,0,0,0,1.56,161.13,0,5.57,0,0,4.35
120,0,0,0,0,0,28.57,0,0,0,0,0,0,7.68,13.48,7.52,114.74,0,0,1.74,0,1.73,175.68,0,0,0,8.27,0
