stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,180.16,4814.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,361.73,6656.57,6.55,0,0,0,0,0,0,0,0,57.99,0,0,0,0,0,0,0,0,0,0,0,353.26,31.37,0,0,66.52,0,138.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,92.14,148.47,91.77,0,0,259.18,0,0,0,0,0,65.6,0,0,0,0,0,0,0,0,0,0,0,2466.99,65.68,0,0,728.52,0,11.03,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.08,82.33,0,11.59,143.8,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,1575.84,66.01,0,0,532.21,0,0,0,0,29.94,0,7.22,0,0,0,0,0,0
 14-21,0,0,11.45,119.36,29.21,91.97,0,0,0,14.43,10.25,1.7,1.1,0,7.66,0,0,0,0,79.86,0,0,50.16,1579.45,21.77,6.34,24.41,44.5,0,3.11,0,175.88,4.72,3.14,103.07,383.51,0,0,6.69,0,0
 24-34,0,0,0,27.35,10.65,155.64,0,0,0.76,20.98,1,0,2.71,0.6,1.32,1.64,3.1,11.34,0,110.07,0,0.69,24.85,1551.35,3.17,6.38,16.6,1,0,11.69,0,4.18,3.96,0,7.01,248.39,0,0,12.33,0,1.71
 36-46,0,0,0,12.22,0,205.82,0,0,0,30.09,0.57,0,0.87,0,0.59,5.3,0.77,0.57,0,83.28,0,3.41,11.47,829.16,1.04,3.93,3.55,0,0,6.32,0,0,0,0,0,190.53,0,0,3.55,0,0.7
 48-58,0,0,0,17.04,0,294.14,0,0.4,0.85,47.67,3.8,0,1.18,0.54,4.17,8.88,1.68,0.39,2.75,69.25,0,4.34,23.65,490.83,1.91,1.03,2.04,0,0,7.63,0,0,0,1.28,0,74.21,0,0,13.58,0,2.5
 60-70,0.81,0,0,9.67,0,236.24,5.05,7.05,2.09,44.26,0,0,1.46,5.95,2.84,0,0.66,3.58,0,78.18,1.53,1.29,13.02,231.23,0,3.15,0,0,0,5.25,0,0,0,0,0,34.51,0,0,1.92,0,0
 72-82,0,0,0,11.65,0,106.11,0.88,0,0,56.63,3.16,0,0.64,0.55,0.73,0,2.6,3.3,0,80.9,0,2.73,8.34,123.4,0,0.52,1.67,0,1.12,0.64,0,0,0.55,1.5,0,12.18,1.33,0.53,7.9,0.91,0
 84-94,0,0,0,16.14,0,83.16,0,0,5.09,49.9,2.23,0,0,0.95,0.73,1.94,0.81,2.3,0,62.08,0,0.6,8.24,94.98,0,0,2.22,0,1.31,6.28,0,0,1.09,0,0,9.48,2.89,2.12,4.97,5.92,4.57
 96-106,0,0,0,7.16,16.95,59.03,0,0,0.89,20.73,2.37,0,1.34,2.09,0,0,4.95,0,0.6,40.8,0,0.76,1.32,84.72,0,8.82,4.03,0,0,2.11,0,0,1.33,0,0,0,1.02,0,7.09,0,1.22
108-118,0,0,0,6.43,1.4,62.19,0.58,0,1.09,30.18,4.16,0,0,0,0.65,0.87,1.72,0.43,0,29.51,0,0.62,13.54,130.1,0.93,2.86,1.87,0,0,10.5,0,0,0,0,0,4.91,0.43,0.82,4.02,1.9,0
120,0,0,0,5.17,0,23.88,0,0,2.81,37.13,0,0,0,0,2.78,0,0,0,0,34.01,1.46,0,9.21,97.38,0,4.59,15.69,0,0,0,0,0,1.02,0,0,1.57,0,0,2.15,0,0
