stage,eye,gut,neural,olfactory,otic,spinal.cord
 10-12,12.29,0,51.09,0,0,0
 24-34,1.49,0,0,0.94,1.32,1.64
 36-46,1.27,0,1.61,0,0,0
 48-58,2.55,0,5.89,0,0,0
 60-70,7.84,0,1.45,0,0,0
 72-82,0,0.71,0,0.88,0.71,0
 96-106,0,0,0,0.71,0,0
120,2.18,0,0,0,0,0
