stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,927.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0
  5-6,53.13,968.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.32,0,0,0,8.27,0,24.02,0,0,0,0,0,0,0,0
  7-9,13.56,0,30.51,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,17.6,0,0,86.99,0,3.31,0,0,0,0,0,0,0,0
 10-12,0,0,22.66,0,0,0,5.51,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,211.77,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,192.12,0,0,2.24,0,0.85,0,0,0,0,0,0,1.61,0,0,0,3.12,0,0,2.71,16.1,2.56,0,0,0,0,2.32,5.2,0,1.03,7.31,0,0,0,0
 24-34,0,0,1.42,132.04,0,0,0,0,16.31,0,0.66,2.19,0,0.69,0,0.72,0,0,0.69,2.01,1.46,0,2.14,45.7,12.13,2.84,0.71,0,0,11.61,0,5.97,0,3.08,0,8.58,0,0
 36-46,0,0,0.96,111.85,0,0,1.33,0,26.88,0,0,0.56,0,0,0.66,0,0,0,0,4.94,0,0,0.76,38.91,33.48,0,0,0,0,25.03,0,2.09,0,10.06,0,0,0,0
 48-58,0,0,0,108.01,0,0,12.66,0,21.5,0,1.25,0,0,0.44,2.4,0,0,1.16,0,2.53,0,0,0.76,17.32,18.69,0,0,0,0,5.27,0,0,0,6.13,0,0,0,0.59
 60-70,0,0,0,97.36,0,0,5.6,0,27.6,0,1.63,12.48,0,0.76,1.82,1.4,0,0.82,3.71,10.99,1.44,0,0,21.74,13.4,0,0,0,0,11.34,0,0,0,0.64,0,1.05,0,0
 72-82,0,0,0,40.28,1.07,0,3.94,0,22.86,1.87,6.34,6.61,1.02,0,0.53,0,0,1.5,0.79,14.05,0.56,0,0,9.71,1.75,0.58,0,0,3.03,7.21,0,0,0,3.44,0,0.8,0,1.18
 84-94,0,0,0,148.5,0,0,33.01,0,25.63,0,5.72,9.41,2.11,1.1,0.75,3.85,0.87,0,0,16.64,0,1.93,0,5.66,3.48,1.55,0,0,0,21.6,0,1.28,0,3.17,0,0,0,0
 96-106,0,0,0,93.43,8.53,0,26.12,1.05,27.53,0,9.21,13.98,0,1.46,4.26,1.44,1.05,2.65,0,26.93,0.76,1.03,0.71,33.57,4.58,1.52,0.73,0,0,27.53,0,0,0,0.67,0,0,2.1,0
108-118,0,0,0,146.74,0,4,38.77,0,44.09,0.5,7.92,31.41,0,0.69,2.41,4.81,3.66,1.49,8.89,15.63,1.76,0.97,0.54,27,4.61,3.21,1.78,0,0,16.7,0,0.47,0,3.29,0.66,0.49,4.23,1.38
120,0,0,0,145.02,0,1.06,9.56,0,27.5,5.31,1.96,19.3,0,0,5.25,0,0,1.48,1.1,29.24,0,0,2.81,10.21,16.81,0,0,0,0,9.54,0,2.5,0,0,0,2.05,0,0
