stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.18,6.49,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.5,0,0,0,58.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3283.94,0,0,1.11,0,0,0,11.48,0,0.82,0,10.74,0,0,0,0,7.63,19.36,0,4.54,125.36,0,1.02,0,0,0,5.95,2.09,0,0,1.89,58.7,0,0,0,0,0
 24-34,0,0,0,3999.18,0.66,0,9.51,0,39.64,0,17.68,0,0,1.7,7.08,0,9.94,2.59,0.69,35.41,51.96,0,12.24,334.73,0.74,3.82,0.73,0,0,29.42,0,5.83,9.7,2.48,104.86,0,0,9.21,0,0
 36-46,0,0,0,3059.66,0,0,12.26,1.34,68.56,0,9.07,0,0,0,4.61,0,13.98,1.07,3.91,42.68,26.03,0.77,4.52,185.29,1.12,5.98,6.74,0,0,19.47,0,0.56,0,0,49.83,0,0,0,0,0
 48-58,0,0,0,2112.31,0,0,46.38,0.42,77.88,0.49,17.04,0,0,0,0,0,5.17,0,0,75.21,23.74,0.94,4.83,191.7,0,0,1.61,0,0,11.34,0,0,0,0,25.46,0,0,0.46,0,1.51
 60-70,0,0,0,1577.76,0,0,54.95,0,69.28,0,4.17,0,0,0,4.97,0,1.16,0,0,50.99,17.29,3.2,5.26,61.08,0,0,7.78,0,0,6.55,0,0,0,0,5.9,0.61,0,5.25,2.12,0
 72-82,0,0,0,1101.91,0.76,0,27.41,0,37.37,2.26,7.84,0,0,0,0,0,0,5.43,8.68,70.76,12.71,1.52,3.04,64.86,0.52,0.76,1.23,0,0,7.82,0,0,0,0,3.97,1.53,1.58,6.19,0,0
 84-94,0,0,0,2039.33,0.68,0,41.96,0.64,97.61,0,10.83,2.62,0,0,0,1.23,0,0,0,58.68,23.81,0,1.25,41.28,0,0,4.37,0,0,1.48,0,0.84,0,0,3.96,12.37,0,0.81,6.01,0
 96-106,0,0,0,1617.82,0,0.59,16.35,0,70.39,0,21.39,10.24,0,0.73,0,0,0.84,0.72,0,43.5,22.76,0,0,41.23,0,0,2.92,0,1.05,5.86,0,0,0,0,0,0.91,0,4.02,3.36,0
108-118,0,0,0,1691.5,0.94,0.49,11.8,0,89.42,0.8,8.22,12.62,0,0.81,0,2.39,0,0,0,66.03,15.4,2.17,0.51,36.54,0,0,2.11,0,2.81,0,0,0,0,0,0,3.14,2.13,1.76,1.13,4.66
120,0,0,0,1069.56,0,0,10.62,0,59.59,0,25.21,1.62,0,6.6,0,0,0,0,0,68.65,9.66,0,0,92.58,0,0,3.32,0,0,1.62,0,1.79,0,0,5.75,0,0,0,0,0
