stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.45,61.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,117.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.4,0,0,0,8.47,0,0,0,0,14,0,0,0,0,0,0,0,0
 14-21,0,0,0,311.49,12.82,0,6.84,0,0,0,0,0,0,0,0,19.89,0,0,0,0,11,3.06,0,5.8,125.42,0,0,6.09,0,0,4.81,0,1.11,0,0,12.05,1.84,0,0,51.68,0,0
 24-34,0,0,0,15.13,3.54,0,2.06,0,0,0,0,0,0,1.22,15.83,326.5,0,0,0,0,4.28,73.71,0,1.03,71.19,0.62,0,0,0,0,0.61,0,0,0,0,0,1.27,0,0,120.66,0,0
 36-46,0,0,0,36.69,7.85,0,2.06,0,0,0,1.21,0,0,0,21.37,356.92,0,0,0,0,7.43,39.41,8.03,1.45,159.74,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,234.54,0,0
 48-58,0,0,0,14.6,1.36,0,19.86,0.38,1.52,0,1.36,0,0,0.41,46.06,210.88,0,0,0,0,28.19,40.9,0.79,2.87,275.53,0,1.22,0,0,0,1.89,0,0,0,0,0,17.56,0,0.79,335.16,1.29,0
 60-70,2.52,0,0,63.92,0,0,31.61,0,4.72,0.81,14.1,0,0.63,6.73,54.09,355.32,0,0,8.92,0,234.31,50.32,3.98,10.35,416.13,0,0,2.74,0,67.42,1.28,0,0,2.92,0,0,24.98,0,0,322.8,1.5,0
 72-82,0,0,0,53.2,2.2,0,82.98,2.7,0,7.24,30.53,5.32,1.02,6.33,126.34,512.54,0,1.94,0,0.64,449.7,35.07,46.76,3.07,559.89,0,0,3.93,0,80.6,5.82,0,0,0.49,0,0,43.92,1.21,6.98,408.78,71.27,0
 84-94,0,0,0,180.59,3.91,0,89.9,0,0,35.39,18.78,6.44,0,5.87,222.36,1036.02,1.96,5.43,2.4,11.52,570.04,40.87,25.41,6.46,535.67,0,8.29,3.84,0,235.08,6.56,0,0,19.35,0,0,11.89,3.4,34.3,481.45,60.9,0
 96-106,0,0,3.07,357.56,38.39,0.9,186.37,0,3.57,11.09,56.47,16.05,0,40.52,265.54,1959.98,3.86,15.75,0,0,1323.86,104.57,63.16,48.19,703.46,0,21.64,6.29,0,468.19,24.11,1.91,0,27.93,0,0,14.47,4.96,11.59,1093.17,32.62,7.56
108-118,2.01,0,0,412.3,8.85,3.57,201.53,0,6.21,18.38,34.69,10.12,0,25.56,291.73,1767.96,4.23,11.38,12.37,0,1918.44,58.32,168.83,69.97,1466.09,0.55,10.56,9.19,0,687.68,9.87,0,0,40.12,0.88,0,11.33,14.31,11.92,923.52,26.97,0.42
120,0,0,0,269.07,8.9,0,168.93,0,4.55,1.83,39.97,52.56,0,7.88,325.76,1016.62,15.36,0,79.9,0,1682.68,56.12,82.96,81.06,1558.52,0,6.91,12.11,0,966.3,5.56,0,0,74.58,0,0,5.35,0,0,918.19,11.79,0
