stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.24,456.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.6,380.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,27.8,0,0,0,0,0,0,0,0
  7-9,13.5,0,0,17.28,0,7.47,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,167.78,25.25,0,0,51.64,10.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4,3.56,0,0,10.27,0,0,0,5.78,0,0,0,0,0
 14-21,0,0,1.24,0,5.93,1.02,0,0,0,1.23,0,0,0,0,0,0,0,0,0,2.5,0.83,0,2.26,10.29,1.84,0,0,0,1.88,1.82,1.62,9.21,5.52,0,4.67,0,0
 24-34,0,0,0,0,2.86,2.35,0,0,0,0,0.63,0,0,0,0.63,0,0,0,0.98,9,0,0,4.91,28.11,1.19,0,2.55,0,5.93,0,0,2.78,9.06,0,1.51,0,0
 36-46,0,0,0,0,3.48,0.67,0.76,0,0,1.59,0,0,0.79,0,0,0,0.99,0,0,31.53,1.78,0,6.54,20.15,1.86,1.13,0.83,0,10.18,3.12,0,0,2.6,0,0,0,5.73
 48-58,0,0,0,0,0,8.6,0.58,0,0,1.68,0,0,0,0,0,0,0,0,0.93,26.42,0,1,1.24,9.85,0,1.78,0.83,0,10.49,0,0,0,0.88,0,6.92,0,0
 60-70,0,0,0,0,7.52,0,1.17,2.35,1.13,8.48,0,0,0,0.82,0,3.02,0,0,0,48.78,0,0,0,5.84,0,1.42,0,0,5.95,0,0,0,0,0,0,0,8.91
 72-82,0,0,0,0,0.98,1.42,0,7.5,0,4.52,0,0,0,0,0,0,0,0,0,39.38,0.79,0,2.74,26.76,0,0.52,0,0,3.71,0,0,0,0,0,1.41,2.11,0
 84-94,0,0,0,0,5.44,6.95,0,0,0,0.84,0,0,0,0,1.25,0,1.2,0,8.04,41.71,0,0,2.01,9.47,2.66,0.6,0.92,0,16.25,0,0,0,0,3,2,0,0
 96-106,0,0,0,0,1.69,9.92,0.71,0,0,1.55,0,0,0,0,5.66,0.71,2.32,5.84,0,47.16,1.66,0,3.51,3.75,0,0,0,0,8.26,0,0,0,0,1.21,3.66,2.68,2.77
108-118,0,0,0,0,3.1,1.78,0,0,0,1.12,1.46,0,0.93,0,0.42,0,7.04,0,0.51,40.25,1.08,0,1.49,9.28,0,0,0.72,0,5.1,0,0,0,0,0,10.86,0.71,2.42
120,0,0,0,0,14.94,0,1.06,0,0,6.89,0,0,0,5.88,0,12.97,10.64,0,0,55.53,0,0,7.37,9.07,0,1.48,0,0,2.73,0,0,0,0,0,3.98,0,7.84
