stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.11,73.15,1.23,0,1.71,0,0,0,0.84,1.07,0,0,0,0,0,0,0,44.39,0,0,57.88,29.42,0,0,0.94,0,6.34,5.46,0,17.75,4.87,0,0,1.82,0,0
 24-34,0.6,40.75,0,0,2.43,0,0.92,0.89,1,0.67,4.27,0,0,0,0,0,0,221.99,0,0,132.4,33.57,9.25,0,0,1.14,7.83,1.19,0.93,3.96,4.07,0,0,24.64,0,0.63
 36-46,0,14.16,0,0,5.27,2.66,0,2.68,4.54,1.39,20.97,0,0,0,0,0,0,326.32,1.37,13.45,109.46,40.4,2.3,1.15,0,2.1,14.44,0.86,0,0,5.45,0,3.38,11.8,0,9.89
 48-58,0,21.36,0,0,2.55,0,0.37,16.24,4.13,0,6.34,0,0,0,0,8.45,6.97,269.44,0,13.57,67.84,23.1,6.71,0,0,0.95,9.55,0,0,0,6.45,0,0,4.42,0,12.36
 60-70,0,17.81,0,0,18.07,0,2.54,24.82,25.72,0,2.69,0,0,0,0,8.97,0,249.3,0,7.03,18.18,4.97,11.85,0,0,1.44,3.71,0,0,0,7.37,0,1.88,0.99,0,0
 72-82,0,30.49,2.46,0,35.51,0,1.13,23.52,30.19,0.88,4.97,1.3,0,0,0,39.92,6.63,335.69,0,10.18,27.46,26.12,4.24,0,0,9.14,0,0,0,0,7.31,4.15,8.25,2.44,6.51,0
 84-94,0,49.6,0,0,26.47,0,7.47,24.3,25.86,0.82,6.51,0.55,0,0.76,0,115.89,18.74,397.93,0,17.48,27.89,24.63,16.03,0.71,0.91,3.48,6.5,0,0.64,0,0,0,2.22,3.14,13.94,0
 96-106,0,30.04,0,0,28.75,0,6.02,49.95,25.03,0,7.65,1.52,0,0,0.94,209.33,1.54,426.94,0.57,14.65,35.68,56.86,11.56,0.79,0.86,2.74,12.86,0,0,0,6.19,0.8,4.22,0,8.84,4.79
108-118,0.47,95.02,0,3.88,29.07,0.58,33.31,44.61,36.46,3.24,13.08,1.64,0,0,0,633.93,2.39,907.85,0,31.41,66.02,106.5,32.47,1.62,4.43,44.16,2.34,0,0,0,4.03,0,6.02,4.34,22.73,11.1
120,0,80.03,0,0,20.38,0,8.96,130.51,21.05,1.14,27.56,3.81,2.5,0,0,268.53,0,663.04,2.24,46.83,32.46,75.37,63.38,0,0,18.72,1.54,0,0,0,0,0,2.15,7.59,13.76,0
