stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.79,0,1.27,0,0,0,0,0,0,0,0,0,0,46.64,0,0,0,0,8.36,0,0.89,0,0,0,0,0,0,0
 24-34,0,0.81,0,0,0,0.59,0,0,0,0,3.74,21.56,0,0.64,11.17,0,0,1.34,0,1.33,22.04,0,1.71,24.42,25.11,9.02,4.11,0,0,148.46,0,43.01,0,0.92,0,0,0,0,0
 36-46,0,0.72,8.74,0,0,4.17,0,1.15,0,1.03,17.19,26.21,0,15.54,36.93,0,0,14.54,0,2.15,50.39,0,0,10.51,2.17,4.32,0,0,0,359.73,0,158.08,0,2.98,0,0,0,0,0
 48-58,0,0,6.54,0,0,10.19,0.53,5.31,0,1.48,53.69,82.35,0,13.02,26.55,0,0,7.45,1.03,4.37,60.77,0,0.48,52.38,0,1.35,0,0,0,529.24,0,89.57,0,4.68,0,0,2.4,0,0
 60-70,22.89,0,12.22,0,0,18.21,0,4.53,9.26,10.11,249.26,30.76,0,37.78,10.82,0,8.39,37.75,0,1.42,89.43,0,2.21,44.04,0.66,1.8,1.46,0,0,613.8,0,147.37,0,5.48,0,0.9,10.04,0,0
 72-82,91.91,0,46.69,0,1.16,61.15,0,7.65,0,6.93,848.02,16.52,0,146.26,38.02,3.67,0,46.81,0,13.62,138.19,0,4.69,155.69,0,3.16,0,0,0.77,878.4,1.65,186.84,0,4.33,0,1.82,1.34,1.16,3.43
 84-94,129.56,1.3,132.74,10.39,0,45.82,0,22.04,0,3.84,1088.39,16.39,0,98.68,42,0,0.75,298.48,2.53,28.5,179.49,2.67,1.29,127.55,0,0.71,1.44,0,0,2247.51,0,479.58,0,6.11,2.5,0,0,0,0.7
 96-106,111.63,1.99,375.67,50.28,0.62,114.38,1.21,54.74,11.4,23.93,1650.7,1.32,2.92,278.71,119.83,0,1.8,361.7,0,45.9,257.43,5.25,4.49,385.77,0,0.67,0.92,0,3.47,3533.36,8,459.44,0,14.34,6.23,0,9.08,12.88,1.61
108-118,88.83,8.38,477.83,8.5,1.07,104.64,6.4,146.5,3.73,16.99,2012,0,1.9,359.19,192.61,5.04,0.47,763.48,5.7,47.8,266.66,4.13,4.76,328.16,0,3.1,2.24,0,0.86,4539.38,0,460.19,0,10.14,15.41,0,0.87,0,2.06
120,66.99,3.32,474.43,9.1,7.65,23.96,0,103.76,0,17.43,1734.23,0,0,532.19,114.32,0,25.27,345.87,0,39.91,235.37,0,43.3,375.31,0,3.05,3.63,0,0,2930.12,0,309.81,1.21,16.42,7.21,0,16.23,0,0
