stage,epidermis,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,pericytes,spinal.cord,vasculature
 36-46,0,0.59,0,0,0,0,0,0.84,0,1.41,0
 48-58,0,0,0,2.13,0,0,0,4.11,0,0,0
 60-70,0,7.08,0,0,0,0,0,0,0,1.49,0
 72-82,0,2.82,0,0,0,0,0,2.77,1.78,0,0
 84-94,0.71,0,0,0,0,0,0,7.25,0,0,0
 96-106,0,0,0,0,2.91,0,1.25,0,0,0,0
108-118,0,7.38,1.3,0,0,0.87,0,3.75,0,0,0
120,0,14.06,0,0,0,0,0,0,0,0,19.01
