stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.73,929.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,12.42,713.11,0,17.23,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,46.52,0,0,0,67.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.19,51.96,0,499.41,0,5.95,21.05,0,0,0,0,0,28.09,0,0,0,0,0,0,0,0,0,683.69,27.45,0,0,1497.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,49.04,0,355.21,0,22.35,255.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,2560.66,20.41,0,0,1744.73,0,12.28,9.31,228.9,0,57.89,15.27,0,0,0,0,0
 14-21,4.62,0,1.93,30.75,5527.66,454.72,936.25,0,111.22,0,11.63,261.97,0,215.88,0,13.7,0,0,946.48,17.6,0,1289.6,527.21,36.26,6.8,9.29,218.08,0,7.54,233.86,656.49,146.04,2034.1,382.4,0,0,0.87,0,0
 24-34,4.02,0,0,0,1591.68,5.99,456.16,0,1118.73,0,3.23,0.91,0,111.76,6.57,3.82,1.48,0,391.68,9.57,0,187.15,145.07,9.81,4.29,0,0,0,4.85,0,0,5.65,87.13,34.82,0,0,11.01,0,0
 36-46,0,0,4.56,0,131.34,0,174.32,0,970,10.94,2.03,0,0,38.96,0,1.57,0,0,143.39,0,0,30.9,88.06,0,1.16,2.39,0,0,2.3,0,0,0,0,18.92,0,0.85,0,0,0
 48-58,0,0,0.74,0,51.91,0,107.8,0.65,487.49,0,2.16,0,0,10.69,0,0.4,0,1.55,79.68,0,0,16.01,74.11,0,0,136.73,0,0,9.29,0,0,0.39,0,10.88,0,0,0,0,0
 60-70,0,0,0,0,33.86,0,47.82,0,212.16,3.02,11.13,0,0,16.76,0,5.21,0,1.56,76.96,0,14.8,5.62,64.89,0,1.48,134.43,0,1.92,0,0,0,0,0,2.92,2.18,13.11,0,2.8,5.37
 72-82,0,0,0,0,17.95,1.23,10.44,0,99.27,0,2.88,0,0,6.79,0,0,0,0,182.74,0,7.99,2.6,30.87,0,0,129.27,0,0.77,0,0,0,0,0,0,1.01,33.96,0,8.23,0
 84-94,0,0,0,0,85.29,0,10.39,0,93.51,0,0.91,0,0.64,3.09,0.7,2.31,0,0,206.11,0,6.31,10.24,12.08,0,0,253.27,0,0,3.64,0,0,0,0,0,0,34.21,0,10.33,0
 96-106,0,0,0.95,0,48.04,0,29.08,0,38.76,0,1.93,0.66,0,15.91,0.66,4.84,0,0,222.22,0,0,0,7.99,0,0,92.74,0,1.82,4.38,0,0,0,0,0,0,39.44,5.06,13.44,1.22
108-118,0,0,0,0,39.35,0,14.31,0,41.29,4.57,10.92,0,0,9.54,0,20.43,0,0,203.54,0,0.98,3.58,51.84,0,0,49.15,0,9.85,0.62,0,2.53,0,0,0,0,19.25,0,2.89,0
120,0,0,0,0,108.63,1.06,24.42,0,13.8,0,0,0,0,3.96,0,14.03,0,0,220.65,8.46,0,0,16.89,0,0,9.35,0,7.89,0,0,0,0,0,0,0,13.83,0,9.62,0
