stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,149.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0
  5-6,7.71,262.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0
  7-9,4.21,7.1,8.73,0,0,0,82.5,0,0,0,0,0,15.01,0,0,0,0,0,0,0,0,0,0,498.1,8.59,0,0,143.49,0,0,0,0,0,0,0,0,0
 10-12,0,10.14,9.22,0,0,0,24.66,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0,0,0,364.71,5.47,0,0,209.58,0,0,11.53,0,0,0,0,0,0
 14-21,0,1.36,4.12,58.04,21,0,13.19,0,0,0,3.49,0,0,0,0,0,0,0,1.46,20.43,0,0,6.2,207.71,4.63,2.87,7.31,16.84,2.56,49.18,8.69,41.5,73.69,0,0,0.85,0
 24-34,0,0,0.67,17.69,0.6,0,16.33,0,0.7,0,6.46,0,0,1.99,2.02,0.64,0,3.19,0,35.85,0,0,3.58,89.44,0,4.72,9.94,0,18.12,0,3.49,5.99,29.68,0,0,7.96,0
 36-46,0,0,0,26.23,0,0,43.35,0,5.64,0.9,0.64,3.31,0,0,0,0,0,0,4.04,22.7,0,0,3.66,62.11,1.69,7.59,1.84,0,26.9,0,8.27,0,10.02,0,0,0,0
 48-58,0,0,0,31.54,0,0,35.91,0,2.73,0,2.52,1.26,0,0.66,0,0,0,4.21,1.37,10.34,0,0.47,0.45,63.21,0,1.41,1.35,0,12.1,0,1.67,0,4.46,0,0,0,0
 60-70,0,0,0,25.21,0,0,29.91,0,1.28,1.86,1.85,3.29,0,0,0,2.65,1.79,4.14,1.92,9.32,0,1.48,4.23,18.17,0,1.17,0,0,7.28,0,0,0,5.1,0,0.59,1.67,0
 72-82,0,0,3.87,17.02,0,0.76,20.97,0.55,3.93,0.51,1.85,2.46,0,1.03,0.5,1.98,0,1.92,0.5,19.8,0,0,1.91,34.18,2.81,0.54,3.58,0,0.71,0,1.07,0,0,0,1.08,0,0.54
 84-94,0,0,0,22.43,0.86,0,3.62,0,1.88,2.16,5.53,6.19,0,0,0,1.68,0,0.81,1.37,13.77,0.75,0.72,0,8.41,0,2.74,7.14,0,5.87,0,1.9,0,7.73,2.04,0,3.29,0
 96-106,0,0,0.72,17.98,0,0,6.26,0,0,0,1.17,3.43,0,0,0,8.35,0.74,0,0.72,11.47,1.24,0,0.7,6.93,0,1.54,5.05,0,2.03,0,1.5,0,0,0,0,2.1,0
108-118,0,0,0,6.21,0,0,5.83,0,0.47,4.33,0,1.91,0,1.81,0,0,0.85,2.24,0.65,7.46,1.08,0.98,0.96,20.98,0,1.02,7.26,0,2.03,0,0.73,0,0.42,0,0,0.55,0
120,0,0,0,6.94,0,0,27.34,0,1.42,0,2.95,2.43,0,0,0,0,0,0,0,6.9,0,0,0,14.24,0,3.8,10.42,0,1.15,0,0,0,0,0,0,0,0
