stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,11.92,166.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.29,83.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,0,0,113.34,0,45.67,0,0,6.94,0,0,0,0,0,0
 10-12,0,0,14.95,0,0,0,0,0,0,0,0,0,82.01,0,30.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,0.81,0,0,0,0.92,0,0,3.58,0.88,35.59,0,1.12,0,1.54,0,0,0,2.2,22.01,0,0
 24-34,0,0,0,1.95,0,0,0,0.62,0,0,3.55,0.66,25.93,0,0,0,0,0,0,0,1.95,12.38,1.85,0
 36-46,0,0,0,0,0.58,0,0,5.03,0,0.72,0,0,32.6,0,0,0,0,0,0,0,0,11.71,0,0
 48-58,0,0,0,0,0.47,0.71,0.86,5.18,0.51,0,0.44,0,24.16,0,0,0,4.79,0,0,0,0,7.39,0,0
 60-70,0,0,0,0,2.48,3.83,0,16.51,0,0,3.16,1.06,4.21,0,0,0,0,0,0,0,0,1.74,0,0
 72-82,0,0,0,0,7.48,0.55,0,20.98,0,0,2.24,0,7.43,0.53,0,0,0,0,0.9,0,0,2.89,0,0
 84-94,0,0,0,0,1.18,0,0,7.76,5.22,0,9.25,0,0,0,0,0,0,0,0,0,0,0.85,0,0
 96-106,0,0,0,0,0,3.64,0,12.69,0,0,3.02,0,8.7,0.75,0,0,0,0,0,1.26,0,2.66,0,0
108-118,0,0,0,0.97,0.83,0,1.71,13.51,0,0,3.92,1.05,14.9,0,0,0.86,0,0,0,1.62,0,6.38,0,3.39
120,0,0,0,0,0,1.33,0,15.44,0,0,36.84,0,25.39,0,0,0,0,0,0,0,0,1.34,0,0
