stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.54,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,7.85,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,2.49,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.04,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74,0,0,0,0,3.38,0,4.13,0,0,0,0,0
 48-58,0,0,0,0,0,0.65,0,0,0.43,0,0,0,0,0,0,0,0,0,0.73,0,0,0,18.99,0,1.21,0,0,4.78,0,3.75,0,0,0,0,0
 60-70,0,0,0,0,50.17,0,0,0,0,0,0.85,0,0,0,0,0,3.74,0,0.64,0,0,0,54.74,0,0,0,0,0,0,1.17,0,0,0,0,0
 72-82,0,0,1.48,8.96,1072.88,38.32,0,2.85,1.44,5.53,0,0,0,0,2.56,0,0.59,0,22.51,0,0,0.58,220.52,0,0,3.9,0,11.39,0,21.69,3.84,2.2,5.46,0,0
 84-94,0,0,9.72,16.83,2664.64,35.49,0,0,1.21,2.64,0.57,0,0.64,0,6.84,0.83,1.36,0,19.59,6.38,0,0,230.97,0,0.7,0,0,10.71,0.67,5.81,0,0,1.26,3.33,2.45
 96-106,3.74,0,24.44,107.37,6413.75,191.98,1.36,6.81,20.9,62.19,8.7,3.02,7.67,2.8,0,2.65,47.72,0,99.83,10.74,4.04,6.4,544.01,0.61,6.38,4.43,0,72.87,0.68,18.98,2.61,7.41,19.83,4.71,0
108-118,0,0,47.3,24.86,15251.07,288.73,0,10.98,4.24,79.45,6.67,3.43,17.86,5.44,10.53,5.51,50.77,7.64,145.79,0,2.31,18.45,793.65,9.2,5.39,7.65,13.46,88.26,1.65,9.88,0,7.57,18.54,3.36,17.08
120,0,0,25.38,13.94,6510.19,173.48,11.48,8.66,11.76,94.81,27.97,0,39.17,0,0,0,44.22,7.52,163.88,19.28,0,8.41,812.37,11.27,7.8,3.91,36.68,45.7,14.74,32.09,0,15.44,2.72,0,10.22
