stage,epidermis,fin.epithelia,neural,periderm,taste,xanthophores
 48-58,0,0,1.41,3.88,0,0
 60-70,0,0,0,7.24,0,0
 72-82,0,0,0,2.09,0,8.12
 84-94,0,0,0.86,18.77,0,0
 96-106,0,1.01,0,16.38,0,0
108-118,0,0,1.13,19.69,0.72,0
120,1.07,5.68,0,10.25,0,0
