stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,5857.22,6489.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.68,0,0,0,0,0,0,0,0,0,0
  5-6,21669.43,8707.69,92.4,0,0,0,0,0,0,0,0,2064.56,0,0,0,0,0,0,0,0,0,1429.79,700.93,0,0,74.54,0,142.85,0,0,0,0,0,0,0,0,0,0
  7-9,15048.45,1016.57,1132.86,0,0,0,3303.11,0,0,0,0,7004.46,0,0,0,0,0,0,0,0,0,37353.5,2751.25,0,0,12006.49,0,3.28,140.1,0,0,0,0,0,0,0,0,0
 10-12,3.8,460.37,101.47,0,0,0,4173.59,0,0,0,0,52.63,0,0,0,0,0,0,0,0,0,18025.64,177.07,0,0,7099.53,0,0,0,4.43,263.7,0,14.98,183.42,0,0,0,0
 14-21,0,0,5.48,33.26,5.13,0,6.42,0,0,120.89,2.83,0,0,0,0,0,0,63.71,0,0,26.53,868.04,68.06,0,0.87,22.07,0,2.76,1.23,45.4,67.53,0,35.99,4028.92,0,0,1.16,0
 24-34,0,0,0,4.25,0,0,6.3,0,0,15.4,2.27,0,0,0,0,8.52,0,88,0,0,8.6,198.48,3.43,1.36,0,0,0,2.05,0,0,45,0,2.37,81.66,0,0,0,0
 36-46,0,0,0,0,0,0,11.88,0,0,8.27,0,0,0,0,2.68,0,0,101.51,0,0,12.95,144.15,5.1,0,0,0,0,0.88,0,0,24.96,2.54,0,19.23,0,0,0.74,0
 48-58,0,0,0,0,0.95,0,12.96,0,0.95,13.76,0.56,0,0,1.21,0,0.39,0.38,152.99,0,0,21.29,140.1,2.74,0,0,0,0,0.85,0,0,12.22,0,0,18.68,0,0,0,0
 60-70,0,0,0,0,0,0,22.84,3.57,0,17.18,1.59,0,1.26,4.77,2.21,0,0,262.04,0,0,8.47,87.79,0,0,0,0,0,0,0,0,3.35,5.44,0,8.11,0,0,0,0
 72-82,0,0,0,2.55,0,0,22.79,0,0,28.86,0,0,0,13.19,1.56,0,0,380.53,0,3.49,8.79,80.99,0,0,0.5,0,0,2.07,0,0,7.39,2.88,0,1.08,0,2.25,0,2.6
 84-94,0,0,0,5.17,0,0,9.36,4.78,0,23.33,0,0,0,29.1,0,1.81,0,260.33,0.65,3.7,5.75,14.65,2.34,0,0,0,0,0,0,0,6.91,2.61,0,2.35,2.5,1.41,0,4.78
 96-106,0,0,0,6.64,1.2,1.05,11.88,7.09,0,34.23,0.76,0,0,35.04,0,1.33,0,279.96,0.96,0.73,5.17,31.26,0,0,1.07,0,3.99,2.22,0,0,2.29,1.36,0,0,0,2.2,0,2.25
108-118,0,0,0,4.32,0,0,38.19,2.94,0,24.54,0,0,0,24.54,0,0,0,325.17,0.77,0,15.97,72.74,0.47,0,0.43,0,0,0,0,0,6.36,1.8,0,5.7,0,1.16,0,3.07
120,0,0,0,4.63,10.93,0,13.86,6.02,0,50.19,0,0,0,20.06,0,0,0,247.91,0,0,0,49.4,0,0,0,0,0,3.03,0,1.12,12.28,0,0,0,0,0,0,16.65
