stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.86,0,0,0,0,0,0,0,0,0
  5-6,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.94,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,89.81,0,0,0,0,0,0,0,0,0,0,0,89.86,0,0,20.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,409.84,0,0,0,0,0,0,0,0,0,0,0,92.59,0,0,8.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.2,0,0,1.63,0,0,0,0,28.62,305.74,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,1.11,0,0.86,1.03,3.35,0,0,0,0,0
 24-34,0,0,1.58,0,0,0,0,6.77,0,0,21.52,78.37,0,0,0,0,0,0,0,0.62,0,0.81,2.17,9.8,0,0,0,1.33,0,0.64,1.16,4.47,0,0,1.66,0,0
 36-46,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,1.04,23.22,0,0,0,0.58,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,4.44,0,0,0,0,0.43,2.86,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.48,0,0,1.08,0,0,0,1.21,417.79,0,0,0,0,0,0,40.62,0,0,0,0,1.15,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,7.41,2.03,0,19.85,0,0,4.85,4.96,452.3,0,0.51,0,0,0,1.2,0,0.5,16.24,0.94,1.22,2.97,90.91,3.16,0,0,3.73,3.31,0,0,3.68,0.67,0,0,0,1.14
 84-94,0,0,6.44,4.84,0,35.13,0,0,0,0,3844.22,0,1.16,0.93,0.6,8.1,0,16.42,8.28,16.3,1.42,0,3.1,95.26,0,1.63,0,4.96,0,0,0,6.61,0,0,1.26,0.89,0
 96-106,0,13.28,15.31,30.73,4.74,102.03,0.57,4.42,1.66,28.13,4444.71,0,0,2.92,2.86,1.05,0,1.03,7.79,42.12,1.52,1.88,7.79,264.13,4.91,0,0,11.59,0,0,0,7.18,0.79,1.93,3.59,0.66,1.24
108-118,0,1.75,22.66,15.8,2.22,57.85,0,3.04,0,12.41,6004.63,0,0.43,2.63,0.72,1.07,0,3.52,6.79,52.92,4.51,0,1.7,202.04,2.6,0,0,16.26,0,0.52,0.44,7.66,0,3.45,2.46,1.41,5.92
120,0,0,15.21,0,0,38.98,0,0,0,22.9,2684.16,0,0,7.67,0,0,5.29,17.1,0,20.99,1.49,0,0,278.54,0,0,0,10.36,0,0,0,0,0,0,0,1.93,0
