stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.53,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,32.46,0,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.9,0,0,2.16,0,0,0,0,4.25,0,0,0,0,0,1435.13,0,0,0,0,0,6.63,0,0,0,0,0,2.59,2.57,0,0,13.81,0,0,0,0,0,0
 24-34,0,0,0,4.99,5.41,0.62,0,6.38,0,0,0,0.79,1.35,0,0,0,0,0.93,2632.75,0,6.07,1.36,0,3.52,61.32,0,3.62,0,0,0,1.82,0,0,10.79,1.85,15.12,0,0,3.97,0,0
 36-46,0,0,0,0,1.36,7.25,0,6.93,0,0,2.64,0.99,0,0,0,0,0,0,1747.81,0,1.51,0,0,2.14,37.54,0,0,6.21,0,0,0.58,0,0,0,0,1.8,0,0,0,0,0
 48-58,0,0,0,0,10.45,0.39,0,20.84,0.38,0,0,5.48,18.89,0,0,0,0,0,1398.35,1.94,10.07,0,0,0.88,41.54,0,0,0,0,0,1.13,0,0,0,0,8.8,0,0,0,0,0
 60-70,0,0,0,0,4.6,1.55,0,49.67,0,1.89,0,4.6,126.72,0.88,0,0,0,0,1516.38,0,24.45,0,0,0,68.89,0,1.26,1.81,0,0,0.97,0,0,0,0,16.15,0,0,0,0,15.55
 72-82,0,0,5.38,0,19.24,23.89,0,221.54,0.7,4.38,6.04,44.11,1117.03,0.87,4.44,1.37,3.67,1.88,4088.22,0,53.36,5.35,0,8.29,622.51,0,8.44,4.18,0,0,21.26,0,1.66,0,0,18.28,7.56,0.81,9.45,2.69,19.9
 84-94,0,0,7.99,0.6,14.8,26.26,2.25,178.56,0,4.93,0,36.23,2259.43,5.74,8.13,1.12,7.95,1.34,10630.09,1.36,69.85,0,0,12.78,545.07,6.16,7.97,1.86,0,3.87,46.14,0,0.56,0,0,32.3,9.45,0.56,21.59,3.45,24.48
 96-106,1.12,0,19.9,4.7,124.74,296.61,8.99,912.61,8.13,31.63,42.16,238.85,7025.74,11.47,37.47,26.44,5.07,18.93,22067.03,3.04,443.97,26.98,17.73,32.97,3538.57,5.29,35.18,8.3,0,8,276.71,0,2.23,3.82,0,41.62,26.73,20.69,120.44,22.24,70.54
108-118,0,0,19.06,6.71,129.77,114.15,29.21,795.21,14.89,33.8,23,210.15,11136.87,3.97,25.55,13.17,20.87,12.71,45426.26,15.21,499.8,23.02,23.2,40.53,3865.31,10.39,24.38,26.32,0,9.82,162.34,0,18.4,2.61,0,28.94,12.64,10.11,62.64,8.09,39.78
120,0,0,36.42,0,99.22,52.12,36.48,492.38,10.39,31.97,16.21,165.61,6659.29,6.3,35.56,6.85,3.84,4.72,21562.73,1.33,259.83,0,14.88,32.3,3071.48,4.53,11.2,24.4,0,4.22,47.39,0,7.75,0,0,57.68,1.81,1.32,70.76,2.7,22.1
