stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,71.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.01,0,0,0,0,0
  5-6,73.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.84,0,0,0,0,0
  7-9,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.27,3.26,10.42,30.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.25,0,0,0,0,0,0,0,0
 14-21,0,0,11.61,6.2,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,4.2,1.66,0,11.78,0,0.85,0,0,0
 24-34,0,0,8.64,0.9,0,0.67,0,1.82,0,0,3.32,0,0,0,0,0,3.65,0,0,1.22,25.8,0.72,0,1.45,0,0,4.81,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0.57,0.62,0,0,95.03,0,0,19.39,1.5,0,5.68,0,0
 48-58,0,0,0.6,0,0,10.57,0,0,0,0,0.42,0.59,0,0,0,0,2.02,1.13,0,0,131.29,6.07,0,1.07,0,0,3.07,0,0
 60-70,0,0,0,3.24,0,30.12,0,0,0,3.25,0,0,0,0,0.66,0,6.45,5.45,0,0,122.86,0,0,0,0,0,0,1.06,0
 72-82,0,0.54,0,0.49,0,26.93,0.57,0,0.71,4,0,0,0,0,0,3.54,0,10.44,0,0,225.06,1.67,0,0,0,0,0,0,0
 84-94,0,0.74,0,3.06,0,19.32,0,0,0,1.91,0,0,0,0,1.79,0,1.27,7.85,0.65,0,145.85,1.29,0,0,0,0,1.76,0,2.93
 96-106,0,0,0,3.92,0,12.96,0,0,0,7.49,0,0,3,0,2.05,0,0,5.12,0,0,140.67,1.38,0,0,0.87,0,0,0,0
108-118,0,0,0,0.76,0,8.81,0,0,0,5.87,0,0,0,1.01,0.59,0,0,8.09,0,0,195.72,1.39,0,0,0,0,0,4.24,0
120,0,1.37,0,4.92,1.84,14.85,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,255.16,0,0,0,0,0,0,1.54,0
