stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.21,0,0,1.06
 24-34,0,0,0.74,0,0,1.17,0,0,0.85,0.62,0,0,0.99,0.69
 36-46,0,0,0,2.18,0,0,0,0,11.56,0,0,0,0,1.33
 48-58,0,0,0.98,0,0.5,0.69,0,5.76,9.06,0,0,0,0,0.78
 60-70,0,0,4.26,0,1.35,0,0,0.79,5.75,0,0,0,0,0
 72-82,0,0,1.45,0.8,0,2.21,0.61,0,8.55,0,0,0,0,0
 84-94,0,0,1.28,0.78,0,0,0,0,2.12,0,0,1.46,0,0
 96-106,0,0,1.81,0,0,0,1.69,0,1.38,0,0,0,0,0
108-118,0.64,7.05,0,1.19,0,0,0,0,4.55,0,0,1.44,0,0
120,0,0,0,0,0,0,9.51,0,10.82,0,0,0,0,0
