stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm
  3-4,0,81.57,0,0,0,0,0,0,0,0
  5-6,0,70.07,0,0,0,0,0,0,0,0
  7-9,6.82,9.48,5.92,4.45,0,0,0,45.17,0,27.48
 10-12,0,15.04,6.82,3.73,0,0,0,77.77,0,23.91
 24-34,0,0,0,0,0,0.84,0,2.02,0,0
 36-46,0,0,0,0,0,0,0,7.3,0,0
 48-58,0,0,0,1.6,0,0,0,1.9,0,0
 60-70,0,0,0,0,0,0,0,2.91,0,0
 72-82,0,0,0,0.79,0.72,0,0.57,2.06,3.71,0
 84-94,0,0,0,0.99,0,0,0,0,1.13,0
108-118,0,0,0,0,0,0,0,0.44,0,0
120,0,0,0,0,0,0,0,23.21,1.32,0
