stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,75.62,1561.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.57,0,0,0,0,0
  5-6,66.97,1060.59,0,0,0,0,0,0,0,0,0,0,0,0,0,22.76,0,0,0,26.51,0,0,0,0,0
  7-9,0,0,0,4.28,0,0,9.44,0,0,0,0,0,0,0,0,95.04,0,0,15.96,0,0,0,0,0,0
 10-12,0,3.88,0,0,0,0,6.29,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,32.45,0,0,0,28.6,0,0,0,0,0,6.38,0,0,0,4.94,1.29,0,0,0.95,0
 24-34,0,0,0,0,0,15.13,0,0,0,63.94,0,0,1.89,0,0,3.35,0,0,0,0.74,3.23,0,0,10.75,0
 36-46,0,0,0,0,0,0,1.38,1.3,0,122.77,0,0,0,0.74,0,1.62,0,0,0,0,0,0,0,28.26,0
 48-58,0,0,0,0,2.29,6.36,4.33,0,0,128.51,0,0,0,1.36,0,10.38,0,0,0,1.7,9.02,0,0,10.79,0
 60-70,0,0,0,0,0,2.01,2.03,0,0,113.43,0,0,1.36,0.76,0,5.8,0,0,0,0,0,0,0,6.95,0
 72-82,0,0,0.87,0,0.55,3.27,7.93,0,0,145.45,0,0,6.75,0.96,0,6.12,0,0,0,0,3.04,0,3.09,10.23,0
 84-94,0,0,0,0,0.71,10.45,3.26,0,0,182.57,0,0.58,0.59,6.75,0,6.93,0,0,0,1.08,0,0,1.97,18.05,0.78
 96-106,0,0,0,0,1.67,5.15,2.66,1.4,0,201.79,0.79,0,8.15,0.93,1.02,0,1.05,1.48,0,0,0,1.22,0,22.48,1.33
108-118,0,0,0,0,0.71,10.35,6.47,0.81,2.31,208.42,0.56,0,0.95,5.35,1.23,11.87,0,0,0,0,0,0,1.16,15.07,0.55
120,0,0,0,0,0,16.53,1.29,0,0,322.22,0,0,9.54,2.21,1.62,6.54,0,0,0,1.15,0,0,0,47.4,0
