stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,94.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,3.95,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.92,3.34,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,79.39,0,0,0.84,0,0,2.08,2.92,0.82,0,2.77,70.77,0,0,0,0,0
 24-34,0,0,1.12,5.94,0,0,14.41,0,1.56,0,2.89,0,0,1.92,0,0,0,0.73,0,2.18,3.26,0.81,0,1.73,1478.8,0,1.68,1.47,0,0,8.33,0,0,0,1.57,387.33,0,0,0,0,0
 36-46,0,0,0,0.58,0.7,0,43.64,2.11,0.84,0.57,36.49,0.72,0,0,0,0,0,0,0,0,15.33,0,0,4.46,4889.85,14.4,0,8.91,0,0,11.41,0,0,0,0,769.65,0,0,5.91,0,7.75
 48-58,0,0.68,0,34.49,0,0,572.54,1.1,9.83,3.63,58.96,0,0,0.48,0,0,10.22,0,1.77,0.8,40.43,0,1.53,1.5,7348.23,8.22,2.18,3.35,0,0,14.66,0,0,2.33,0,848.5,0,0.42,2.94,0,14.82
 60-70,0,0,0,24.99,3.58,0,1220.08,0,11.8,6.36,50.7,1.43,4.94,0,7.28,0.67,10.87,1.13,0,0.88,58.6,0,0,15.55,9985.96,0,0.7,11.17,0,0,11.04,0,0.93,0,0,654.62,0,1.59,1.54,0.89,22.68
 72-82,0,0,0,31.11,25.07,0,1710.97,0,6.91,4.62,118.54,1.35,0,0,12,7.99,1.74,0.49,9.17,1.8,118.5,0.56,10.03,7.37,11103.77,0,5.13,12.26,0,0.8,9.19,0,0,0,0,417.11,1.01,1.14,18.79,2.41,37.07
 84-94,0,1.48,0,70.04,19.11,10.69,1380.83,3.55,0.63,0,126.54,2.24,2.81,2.41,9.29,0,1.9,0,2.93,23.84,78.28,0,1.95,10.09,6762.22,0,0.64,2.51,0,0,11.48,0,0,0,0,287.91,5.22,8.88,6.88,2.82,13.25
 96-106,0,2.46,0,51.48,41.03,0,1574.72,3.04,1.33,16.52,139.32,6.07,0,0,11.32,0,0.67,2.82,38.08,0.67,112.24,1.75,1.29,4.55,6946.12,1.98,1.72,10.73,0,6.28,42.54,0,0,0,0,184.63,0,1.31,17.88,1.89,13.93
108-118,0,0,0,84.08,13.57,5.15,1349.88,0.43,1.06,3.31,173.02,8.83,0,0,4.4,3.03,1.03,0.56,5.98,0,55.19,1.82,1.4,5.82,7948.53,7.4,7.35,12.57,0,3.66,3.82,0,0,0.69,0,126.28,8.4,0.45,9.03,4,6.86
120,0,0,0,177.74,14.15,2.02,1826.01,0,0,0,142.8,9.54,0,0,17.65,0,4.95,7.15,9.54,0,155.43,0,0,3.77,16721.21,0,14.24,14.92,0,0,49.23,0,0,0,0,203.2,0,6.66,5.56,7,0
